"Status","Year","Age","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Outside London","35","35","20990","20970"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","London","25","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Outside London","65","65","22240","21260"
"In post","2022","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Outside London","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Outside London","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","London","50","50","25040","24330"
"In post","2022","16-19","Declared non-disabled","White","Outside London","475","465","21500","21250"
"In post","2022","16-19","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
