"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
