"Status","Year","Age","Disability","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","South West (England)","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
