"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Brent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
