"Status","Year","Age","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Declared disabled","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Female","Heterosexual / straight","285","275","22370","21260"
"In post","2022","16-19","Declared non-disabled","Female","LGBO","30","30","23190","21840"
"In post","2022","16-19","Declared non-disabled","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Female","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Male","Heterosexual / straight","275","265","21720","21260"
"In post","2022","16-19","Declared non-disabled","Male","LGBO","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Male","Undeclared","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Male","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Heterosexual / straight","35","35","22600","22200"
"In post","2022","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Unknown","210","200","22100","21250"
"In post","2022","16-19","Unknown","Male","Heterosexual / straight","30","30","21780","21050"
"In post","2022","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Unknown","265","255","21010","21250"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Female","Heterosexual / straight","2300","2250","29700","27570"
"In post","2022","20-29","Declared disabled","Female","LGBO","860","845","29190","27570"
"In post","2022","20-29","Declared disabled","Female","Undeclared","240","230","29960","27570"
"In post","2022","20-29","Declared disabled","Female","Unknown","110","105","28520","27570"
"In post","2022","20-29","Declared disabled","Male","Heterosexual / straight","1545","1530","29340","27570"
"In post","2022","20-29","Declared disabled","Male","LGBO","450","445","30420","27570"
"In post","2022","20-29","Declared disabled","Male","Undeclared","195","195","30270","27570"
"In post","2022","20-29","Declared disabled","Male","Unknown","80","80","28340","27540"
"In post","2022","20-29","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Female","Heterosexual / straight","23475","23020","29590","27570"
"In post","2022","20-29","Declared non-disabled","Female","LGBO","2415","2385","29380","27570"
"In post","2022","20-29","Declared non-disabled","Female","Undeclared","1340","1310","30490","27570"
"In post","2022","20-29","Declared non-disabled","Female","Unknown","1090","1060","28250","27060"
"In post","2022","20-29","Declared non-disabled","Male","Heterosexual / straight","17880","17775","29900","27570"
"In post","2022","20-29","Declared non-disabled","Male","LGBO","1995","1980","31890","28500"
"In post","2022","20-29","Declared non-disabled","Male","Undeclared","985","980","31500","29240"
"In post","2022","20-29","Declared non-disabled","Male","Unknown","1205","1200","28500","27570"
"In post","2022","20-29","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Female","Heterosexual / straight","690","675","30610","29000"
"In post","2022","20-29","Undeclared","Female","LGBO","190","190","28500","27570"
"In post","2022","20-29","Undeclared","Female","Undeclared","295","285","30480","28500"
"In post","2022","20-29","Undeclared","Female","Unknown","30","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Male","Heterosexual / straight","600","595","30550","27570"
"In post","2022","20-29","Undeclared","Male","LGBO","135","135","31060","29090"
"In post","2022","20-29","Undeclared","Male","Undeclared","460","455","32600","31060"
"In post","2022","20-29","Undeclared","Male","Unknown","40","40","28170","27570"
"In post","2022","20-29","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Female","Heterosexual / straight","2670","2635","31740","30200"
"In post","2022","20-29","Unknown","Female","LGBO","350","345","31540","29360"
"In post","2022","20-29","Unknown","Female","Undeclared","545","540","34530","32790"
"In post","2022","20-29","Unknown","Female","Unknown","10475","10265","28610","26840"
"In post","2022","20-29","Unknown","Male","Heterosexual / straight","1765","1755","31430","29550"
"In post","2022","20-29","Unknown","Male","LGBO","260","260","33240","30410"
"In post","2022","20-29","Unknown","Male","Undeclared","355","355","35620","32790"
"In post","2022","20-29","Unknown","Male","Unknown","9545","9470","29170","27130"
