"Status","Year","Age","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Asian","London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","Male","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
