"Status","Year","Age","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","25","25","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","East of England","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","London","50","50","26410","25630"
"In post","2022","16-19","Unknown","North East (England)","35","35","21480","21250"
"In post","2022","16-19","Unknown","North West (England)","50","50","21930","21250"
"In post","2022","16-19","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scotland","70","65","21490","21250"
"In post","2022","16-19","Unknown","South East (England)","50","45","22600","21680"
"In post","2022","16-19","Unknown","South West (England)","60","60","18870","17140"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Wales","55","50","19760","18310"
"In post","2022","16-19","Unknown","West Midlands (England)","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Yorkshire and The Humber","40","40","21780","21250"
"In post","2022","16-19","White","East Midlands (England)","25","25","[c]","[c]"
"In post","2022","16-19","White","East of England","25","25","[c]","[c]"
"In post","2022","16-19","White","London","55","55","24940","24330"
"In post","2022","16-19","White","North East (England)","35","35","22170","21260"
"In post","2022","16-19","White","North West (England)","80","80","22460","21260"
"In post","2022","16-19","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Scotland","70","70","21620","21250"
"In post","2022","16-19","White","South East (England)","80","75","22120","21640"
"In post","2022","16-19","White","South West (England)","105","105","19850","19460"
"In post","2022","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Wales","75","70","20540","19860"
"In post","2022","16-19","White","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","16-19","White","Yorkshire and The Humber","40","40","21950","21260"
"In post","2022","20-29","Asian","East Midlands (England)","355","345","25880","26590"
"In post","2022","20-29","Asian","East of England","185","180","27320","27570"
"In post","2022","20-29","Asian","London","2925","2895","34420","32320"
"In post","2022","20-29","Asian","North East (England)","135","130","25830","23270"
"In post","2022","20-29","Asian","North West (England)","780","760","26490","26590"
"In post","2022","20-29","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Asian","Scotland","130","125","27050","24880"
"In post","2022","20-29","Asian","South East (England)","230","225","28390","27770"
"In post","2022","20-29","Asian","South West (England)","185","180","27820","27000"
"In post","2022","20-29","Asian","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Asian","Wales","135","130","26480","25670"
"In post","2022","20-29","Asian","West Midlands (England)","975","950","26190","25560"
"In post","2022","20-29","Asian","Yorkshire and The Humber","830","805","25840","26590"
"In post","2022","20-29","Black","East Midlands (England)","70","70","25770","25300"
"In post","2022","20-29","Black","East of England","85","85","27640","27570"
"In post","2022","20-29","Black","London","1545","1530","32380","31060"
"In post","2022","20-29","Black","North East (England)","20","20","[c]","[c]"
"In post","2022","20-29","Black","North West (England)","155","150","27770","26820"
"In post","2022","20-29","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Scotland","25","25","[c]","[c]"
"In post","2022","20-29","Black","South East (England)","105","105","28020","27980"
"In post","2022","20-29","Black","South West (England)","50","50","26890","26590"
"In post","2022","20-29","Black","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Black","Wales","35","35","26060","25860"
"In post","2022","20-29","Black","West Midlands (England)","175","170","26560","26590"
"In post","2022","20-29","Black","Yorkshire and The Humber","85","85","26510","25480"
"In post","2022","20-29","Mixed","East Midlands (England)","105","105","25520","24770"
"In post","2022","20-29","Mixed","East of England","100","95","27150","27570"
"In post","2022","20-29","Mixed","London","1090","1075","36250","33570"
"In post","2022","20-29","Mixed","North East (England)","60","60","25590","24430"
"In post","2022","20-29","Mixed","North West (England)","205","200","26260","24880"
"In post","2022","20-29","Mixed","Northern Ireland","10","10","[c]","[c]"
"In post","2022","20-29","Mixed","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Mixed","Scotland","55","55","27990","27230"
"In post","2022","20-29","Mixed","South East (England)","175","175","28040","27530"
"In post","2022","20-29","Mixed","South West (England)","165","160","28150","27570"
"In post","2022","20-29","Mixed","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Mixed","Wales","100","100","26620","25490"
"In post","2022","20-29","Mixed","West Midlands (England)","195","190","27200","26460"
"In post","2022","20-29","Mixed","Yorkshire and The Humber","145","145","27440","26610"
"In post","2022","20-29","Other ethnicity","East Midlands (England)","10","10","[c]","[c]"
