"Status","Year","Age","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","EO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
