"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","AO","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","AA","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","AO","10","10","21250","21250"
