"Status","Year","Age","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Outside London","AA/AO","25","25","21400","22200"
"In post","2022","16-19","Crown Prosecution Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Outside London","AA/AO","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","Outside London","EO","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Outside London","AA/AO","15","15","19440","22230"
"In post","2022","16-19","Defence Science and Technology Laboratory","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","AA/AO","100","100","21320","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","EO","30","30","27620","27570"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Outside London","AA/AO","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Outside London","AA/AO","10","10","20330","21840"
"In post","2022","16-19","Education and Skills Funding Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Outside London","Unknown","25","25","19030","19110"
"In post","2022","16-19","Food Standards Scotland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
