"Status","Year","Age","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
