"Status","Year","Age","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AA/AO","AO","35","35","21600","22200"
"In post","2022","16-19","Attorney General's Departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","EO","15","15","25660","25520"
"In post","2022","16-19","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","AO","10","10","21500","21130"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","EO","10","10","26730","27680"
"In post","2022","16-19","Department for Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","AO","25","25","21380","21300"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA/AO","AA","60","45","18310","18310"
"In post","2022","16-19","Department for Transport","AA/AO","AO","30","25","21410","21840"
"In post","2022","16-19","Department for Transport","EO","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","AO","115","110","21610","21260"
"In post","2022","16-19","Department for Work and Pensions","EO","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","AA","10","5","21050","22350"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","Unknown","25","25","19270","19110"
"In post","2022","16-19","HM Land Registry","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","AO","180","175","21370","21250"
"In post","2022","16-19","HM Revenue and Customs","EO","EO","30","30","26700","26590"
"In post","2022","16-19","HM Treasury","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","EO","10","10","24300","24300"
"In post","2022","16-19","Home Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA/AO","AO","35","30","22260","21680"
"In post","2022","16-19","Home Office","EO","EO","20","20","25880","24880"
"In post","2022","16-19","Ministry of Defence","AA/AO","AA","30","30","17580","17450"
"In post","2022","16-19","Ministry of Defence","AA/AO","AO","20","20","22070","22230"
"In post","2022","16-19","Ministry of Defence","EO","EO","110","110","18840","18030"
"In post","2022","16-19","Ministry of Defence","Unknown","Unknown","50","50","18010","17140"
"In post","2022","16-19","Ministry of Justice","AA/AO","AA","65","65","20800","20890"
"In post","2022","16-19","Ministry of Justice","AA/AO","AO","125","125","24020","23140"
"In post","2022","16-19","Ministry of Justice","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA/AO","AA","50","50","21300","21050"
"In post","2022","16-19","Scottish Government","AA/AO","AO","30","25","22150","21820"
"In post","2022","16-19","Scottish Government","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","EO","EO","10","10","[c]","[c]"
"In post","2022","16-19","Welsh Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA/AO","AO","485","475","22510","22200"
"In post","2022","20-29","Attorney General's Departments","EO","EO","540","535","27030","26950"
"In post","2022","20-29","Attorney General's Departments","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","G6/G7","G7","175","175","50620","50500"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","HEO","235","230","35900","33100"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","SEO","35","35","39600","39750"
"In post","2022","20-29","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","AA/AO","AO","160","155","21750","21050"
"In post","2022","20-29","Cabinet Office","EO","EO","475","475","26480","27500"
"In post","2022","20-29","Cabinet Office","G6/G7","G6","55","55","66050","64500"
"In post","2022","20-29","Cabinet Office","G6/G7","G7","435","435","55220","54700"
"In post","2022","20-29","Cabinet Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SEO/HEO","HEO","2100","2100","30730","29250"
"In post","2022","20-29","Cabinet Office","SEO/HEO","SEO","335","335","39790","40600"
"In post","2022","20-29","Chancellor's other departments","AA/AO","AO","10","10","22930","22240"
"In post","2022","20-29","Chancellor's other departments","EO","EO","15","15","27160","28230"
"In post","2022","20-29","Chancellor's other departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G6/G7","G7","15","15","55250","57250"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","HEO","25","25","35870","35980"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","AA/AO","AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","EO","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","HEO","25","25","28750","29160"
"In post","2022","20-29","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AA/AO","AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","EO","EO","25","25","27410","26750"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","G7","40","40","55310","54320"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","HEO","55","55","33630","33120"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","SEO","10","10","43140","41670"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","AA","40","40","17930","17900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","AO","330","325","21350","21130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","EO","565","565","26400","24890"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","G6","35","35","65940","64700"
