"Status","Year","Age","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Wales","Female","[c]","[c]","[c]","[c]"
