"Status","Year","Age","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Westminster","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Devon CC","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Plymouth","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Westminster","15","15","25610","24300"
"In post","2022","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","15","15","19730","19460"
"In post","2022","16-19","Finance","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Barnet","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Barnsley, Doncaster and Rotherham","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Bexley and Greenwich","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Birmingham","20","20","21900","21250"
"In post","2022","16-19","Operational Delivery","Blackpool","10","10","23550","21260"
"In post","2022","16-19","Operational Delivery","Bradford","15","15","21640","21250"
"In post","2022","16-19","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Bristol, City of","10","10","21000","21110"
"In post","2022","16-19","Operational Delivery","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Cardiff and Vale of Glamorgan","15","15","21800","21250"
"In post","2022","16-19","Operational Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","City of Edinburgh","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Croydon","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Dorset","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Durham","10","10","22510","23140"
"In post","2022","16-19","Operational Delivery","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Kent","20","20","22550","21680"
"In post","2022","16-19","Operational Delivery","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Falkirk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Glasgow City","10","10","21310","21150"
"In post","2022","16-19","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Greater Manchester South West","15","15","21690","21250"
"In post","2022","16-19","Operational Delivery","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Hackney and Newham","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Heart of Essex","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Kingston upon Hull, City of","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Leeds","25","25","22030","21260"
"In post","2022","16-19","Operational Delivery","Leicester","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Leicestershire CC and Rutland","10","10","20930","20930"
"In post","2022","16-19","Operational Delivery","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Liverpool","30","30","21650","21250"
"In post","2022","16-19","Operational Delivery","Manchester","15","15","21280","21130"
"In post","2022","16-19","Operational Delivery","Medway","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Mid Lancashire","10","10","20560","21260"
"In post","2022","16-19","Operational Delivery","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North Lanarkshire","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Nottingham","20","20","22320","21250"
"In post","2022","16-19","Operational Delivery","Oxfordshire CC","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Peterborough","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Sefton","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Sheffield","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South Hampshire","10","10","20250","19860"
"In post","2022","16-19","Operational Delivery","South Lanarkshire","10","10","21310","21250"
"In post","2022","16-19","Operational Delivery","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Southampton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Staffordshire CC","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Suffolk CC","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Swansea","75","65","19280","18310"
"In post","2022","16-19","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Tyneside","25","25","21450","21260"
"In post","2022","16-19","Operational Delivery","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Westminster","10","10","23330","20370"
"In post","2022","16-19","Operational Delivery","Wiltshire","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","York","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Croydon","[c]","[c]","[c]","[c]"
