"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","16-19","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","AA","10","10","18240","19380"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","EO","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","EO","20","20","25210","24300"
"In post","2022","16-19","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","EO","20","20","20840","19460"
"In post","2022","16-19","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA/AO","AA","145","125","19710","19150"
"In post","2022","16-19","Operational Delivery","AA/AO","AO","455","440","22150","21260"
"In post","2022","16-19","Operational Delivery","EO","EO","60","60","26510","27570"
"In post","2022","16-19","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","AO","40","40","22080","21260"
"In post","2022","16-19","Other","EO","EO","25","25","20940","19460"
"In post","2022","16-19","Other","Unknown","Unknown","35","35","18130","16720"
"In post","2022","16-19","Policy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","16-19","Policy","EO","EO","30","30","25360","25170"
"In post","2022","16-19","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","EO","15","15","26130","26030"
"In post","2022","16-19","Property","Unknown","Unknown","15","15","19130","16630"
"In post","2022","16-19","Science and Engineering","AA/AO","AA","20","20","16730","15470"
"In post","2022","16-19","Science and Engineering","AA/AO","AO","15","15","21860","22230"
"In post","2022","16-19","Science and Engineering","EO","EO","60","60","18210","17140"
"In post","2022","16-19","Science and Engineering","Unknown","Unknown","20","20","18070","17140"
"In post","2022","16-19","Security","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","AO","60","55","21250","21250"
"In post","2022","16-19","Tax","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","AA","45","45","21320","21050"
"In post","2022","16-19","Unknown","AA/AO","AO","30","30","22330","21260"
"In post","2022","16-19","Unknown","EO","EO","25","25","26370","27230"
"In post","2022","16-19","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","AO","60","60","21890","21550"
"In post","2022","20-29","Commercial","EO","EO","305","305","25570","26300"
"In post","2022","20-29","Commercial","G6/G7","G6","10","10","65610","65440"
