"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Economics","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Finance","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA","Female","80","70","19670","19100"
"In post","2022","16-19","Operational Delivery","AA","Male","65","55","19760","19200"
"In post","2022","16-19","Operational Delivery","AO","Female","255","250","22210","21260"
"In post","2022","16-19","Operational Delivery","AO","Male","195","190","22070","21260"
"In post","2022","16-19","Operational Delivery","EO","Female","35","35","26670","27570"
"In post","2022","16-19","Operational Delivery","EO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Other","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Other","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Other","EO","Male","20","20","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Policy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Policy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Policy","EO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Policy","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AO","Male","[c]","[c]","[c]","[c]"
