"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Outside London","Female","30","30","21860","21250"
"In post","2022","16-19","East Midlands (England)","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","East of England","Outside London","Female","30","30","22470","21680"
"In post","2022","16-19","East of England","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","London","London","Female","80","80","25620","25110"
"In post","2022","16-19","London","London","Male","65","60","25370","25170"
"In post","2022","16-19","North East (England)","Outside London","Female","40","35","21360","21250"
"In post","2022","16-19","North East (England)","Outside London","Male","40","40","22350","21260"
"In post","2022","16-19","North West (England)","Outside London","Female","90","90","22120","21250"
"In post","2022","16-19","North West (England)","Outside London","Male","60","60","22210","21260"
"In post","2022","16-19","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Outside London","Female","70","65","21820","21250"
"In post","2022","16-19","Scotland","Outside London","Male","75","70","21300","21250"
"In post","2022","16-19","South East (England)","Outside London","Female","55","55","23360","21790"
"In post","2022","16-19","South East (England)","Outside London","Male","75","75","21670","21680"
"In post","2022","16-19","South West (England)","Outside London","Female","60","60","20390","20180"
"In post","2022","16-19","South West (England)","Outside London","Male","115","115","19150","18030"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Wales","Outside London","Female","70","60","20580","19860"
"In post","2022","16-19","Wales","Outside London","Male","70","65","19870","19300"
"In post","2022","16-19","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Outside London","Female","30","25","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Outside London","Male","40","40","21990","21260"
"In post","2022","16-19","Yorkshire and The Humber","Outside London","Female","50","50","22200","21260"
"In post","2022","16-19","Yorkshire and The Humber","Outside London","Male","55","55","21950","21250"
"In post","2022","20-29","East Midlands (England)","Outside London","Female","1965","1910","25950","25120"
"In post","2022","20-29","East Midlands (England)","Outside London","Male","1535","1525","26330","25960"
"In post","2022","20-29","East of England","Outside London","Female","1720","1685","26520","25480"
"In post","2022","20-29","East of England","Outside London","Male","1325","1315","27070","26820"
"In post","2022","20-29","London","London","Female","13750","13635","36130","33550"
"In post","2022","20-29","London","London","Male","10200","10165","37340","34260"
"In post","2022","20-29","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","North East (England)","Outside London","Female","2560","2490","26100","24920"
"In post","2022","20-29","North East (England)","Outside London","Male","2035","2015","26570","25610"
"In post","2022","20-29","North West (England)","Outside London","Female","5505","5385","26420","25000"
"In post","2022","20-29","North West (England)","Outside London","Male","4265","4230","26910","25700"
"In post","2022","20-29","Northern Ireland","Outside London","Female","290","280","25740","24880"
"In post","2022","20-29","Northern Ireland","Outside London","Male","265","265","25150","21680"
"In post","2022","20-29","Overseas","Overseas","Female","180","180","35030","33230"
"In post","2022","20-29","Overseas","Overseas","Male","150","150","36440","33230"
"In post","2022","20-29","Scotland","Outside London","Female","4290","4190","27630","26820"
"In post","2022","20-29","Scotland","Outside London","Male","3260","3230","27390","25930"
"In post","2022","20-29","South East (England)","Outside London","Female","3200","3135","27550","26970"
"In post","2022","20-29","South East (England)","Outside London","Male","2695","2675","27780","27010"
