"Status","Year","Age","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Outside London","50","50","22090","21250"
"In post","2022","16-19","East of England","Outside London","45","45","22510","21680"
"In post","2022","16-19","London","London","145","140","25510","25170"
"In post","2022","16-19","North East (England)","Outside London","75","75","21860","21250"
"In post","2022","16-19","North West (England)","Outside London","150","150","22160","21260"
"In post","2022","16-19","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Outside London","140","135","21550","21250"
"In post","2022","16-19","South East (England)","Outside London","135","130","22390","21680"
"In post","2022","16-19","South West (England)","Outside London","175","175","19570","19460"
"In post","2022","16-19","Unknown","Unknown","35","35","18030","16720"
"In post","2022","16-19","Wales","Outside London","140","125","20250","19450"
"In post","2022","16-19","West Midlands (England)","Outside London","70","65","22080","21260"
"In post","2022","16-19","Yorkshire and The Humber","Outside London","105","105","22060","21260"
"In post","2022","20-29","East Midlands (England)","Outside London","3495","3435","26120","25480"
"In post","2022","20-29","East of England","Outside London","3045","3000","26760","26140"
"In post","2022","20-29","London","London","23955","23800","36640","33710"
"In post","2022","20-29","North East (England)","Outside London","4600","4505","26310","25000"
"In post","2022","20-29","North West (England)","Outside London","9765","9610","26630","25120"
"In post","2022","20-29","Northern Ireland","Outside London","555","545","25460","24500"
"In post","2022","20-29","Overseas","Overseas","325","325","35670","33230"
"In post","2022","20-29","Scotland","Outside London","7555","7420","27530","26590"
"In post","2022","20-29","South East (England)","Outside London","5895","5815","27660","27010"
"In post","2022","20-29","South West (England)","Outside London","7350","7255","27750","27000"
"In post","2022","20-29","Unknown","Unknown","805","800","29380","28980"
"In post","2022","20-29","Wales","Outside London","5505","5390","26380","24730"
"In post","2022","20-29","West Midlands (England)","Outside London","5090","4995","26480","25120"
"In post","2022","20-29","Yorkshire and The Humber","Outside London","6640","6530","27230","26350"
"In post","2022","30-39","East Midlands (England)","Outside London","4635","4355","29990","27570"
"In post","2022","30-39","East of England","Outside London","4195","3950","30830","29290"
"In post","2022","30-39","London","London","25205","24495","46210","42470"
"In post","2022","30-39","North East (England)","Outside London","6925","6495","29980","27130"
"In post","2022","30-39","North West (England)","Outside London","13700","13030","30550","27570"
"In post","2022","30-39","Northern Ireland","Outside London","1005","965","30160","26820"
"In post","2022","30-39","Overseas","Overseas","1035","1030","46720","49920"
"In post","2022","30-39","Scotland","Outside London","11640","11165","33480","30830"
"In post","2022","30-39","South East (England)","Outside London","7790","7370","32090","29580"
"In post","2022","30-39","South West (England)","Outside London","10050","9505","34440","33000"
"In post","2022","30-39","Unknown","Unknown","665","655","36750","32700"
"In post","2022","30-39","Wales","Outside London","9210","8675","30940","27570"
"In post","2022","30-39","West Midlands (England)","Outside London","7070","6700","30470","27570"
"In post","2022","30-39","Yorkshire and The Humber","Outside London","8410","7905","32050","27570"
"In post","2022","40-49","East Midlands (England)","Outside London","5305","4925","32430","27570"
"In post","2022","40-49","East of England","Outside London","5295","4915","32880","29290"
"In post","2022","40-49","London","London","22775","21675","48960","43810"
"In post","2022","40-49","North East (England)","Outside London","8020","7410","31620","27570"
"In post","2022","40-49","North West (England)","Outside London","15195","14180","32150","27570"
"In post","2022","40-49","Northern Ireland","Outside London","1085","1030","30700","26820"
"In post","2022","40-49","Overseas","Overseas","1155","1145","52570","54020"
"In post","2022","40-49","Scotland","Outside London","11365","10735","36480","31540"
"In post","2022","40-49","South East (England)","Outside London","9250","8675","34490","30730"
"In post","2022","40-49","South West (England)","Outside London","10530","9910","37660","33900"
"In post","2022","40-49","Unknown","Unknown","660","645","39170","33570"
"In post","2022","40-49","Wales","Outside London","9140","8550","34440","29430"
"In post","2022","40-49","West Midlands (England)","Outside London","7640","7140","33530","27570"
"In post","2022","40-49","Yorkshire and The Humber","Outside London","9080","8445","34610","30820"
"In post","2022","50-59","East Midlands (England)","Outside London","7060","6590","32190","27570"
"In post","2022","50-59","East of England","Outside London","7405","6985","32800","29290"
"In post","2022","50-59","London","London","24145","23305","45250","38360"
"In post","2022","50-59","North East (England)","Outside London","9645","8700","30710","27570"
"In post","2022","50-59","North West (England)","Outside London","18825","17500","31870","27570"
"In post","2022","50-59","Northern Ireland","Outside London","1245","1190","30640","26820"
"In post","2022","50-59","Overseas","Overseas","965","960","52380","52400"
"In post","2022","50-59","Scotland","Outside London","14930","13985","34760","29900"
"In post","2022","50-59","South East (England)","Outside London","13510","12680","33480","29290"
"In post","2022","50-59","South West (England)","Outside London","13485","12805","37090","33300"
"In post","2022","50-59","Unknown","Unknown","865","845","39420","34290"
"In post","2022","50-59","Wales","Outside London","9930","9285","33740","27570"
"In post","2022","50-59","West Midlands (England)","Outside London","9690","9040","32300","27570"
"In post","2022","50-59","Yorkshire and The Humber","Outside London","11335","10550","33640","28430"
"In post","2022","60-64","East Midlands (England)","Outside London","1965","1635","29130","27130"
"In post","2022","60-64","East of England","Outside London","2190","1885","30550","27570"
"In post","2022","60-64","London","London","6180","5530","41070","33910"
"In post","2022","60-64","North East (England)","Outside London","3130","2365","27460","22510"
"In post","2022","60-64","North West (England)","Outside London","5255","4200","28910","26820"
"In post","2022","60-64","Northern Ireland","Outside London","270","235","28480","25310"
"In post","2022","60-64","Overseas","Overseas","175","175","56030","54330"
"In post","2022","60-64","Scotland","Outside London","4250","3410","31610","27570"
"In post","2022","60-64","South East (England)","Outside London","4335","3650","31250","27570"
"In post","2022","60-64","South West (England)","Outside London","3830","3285","34380","30160"
"In post","2022","60-64","Unknown","Unknown","230","210","37480","33570"
"In post","2022","60-64","Wales","Outside London","3015","2390","30530","26820"
"In post","2022","60-64","West Midlands (England)","Outside London","2815","2325","30090","27570"
"In post","2022","60-64","Yorkshire and The Humber","Outside London","2925","2330","30000","27570"
"In post","2022","65+","East Midlands (England)","Outside London","490","375","29250","26780"
"In post","2022","65+","East of England","Outside London","755","580","29890","27370"
"In post","2022","65+","London","London","2425","2005","37780","31060"
"In post","2022","65+","North East (England)","Outside London","710","515","25670","22080"
"In post","2022","65+","North West (England)","Outside London","1405","1030","28040","26120"
"In post","2022","65+","Northern Ireland","Outside London","90","75","26700","21680"
"In post","2022","65+","Overseas","Overseas","30","30","44570","34710"
"In post","2022","65+","Scotland","Outside London","1130","850","30350","26900"
"In post","2022","65+","South East (England)","Outside London","1715","1340","30170","26830"
"In post","2022","65+","South West (England)","Outside London","1290","1015","31910","27570"
"In post","2022","65+","Unknown","Unknown","55","45","33920","30780"
"In post","2022","65+","Wales","Outside London","960","690","30600","26120"
"In post","2022","65+","West Midlands (England)","Outside London","795","600","29230","26820"
"In post","2022","65+","Yorkshire and The Humber","Outside London","735","545","28830","26870"
"In post","2022","Unknown","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East Midlands (England)","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East of England","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","London","London","25","[c]","22720","21120"
"Leaver CS","2022","16-19","North East (England)","Outside London","15","[c]","20950","21260"
"Leaver CS","2022","16-19","North West (England)","Outside London","20","[c]","20990","21260"
"Leaver CS","2022","16-19","Scotland","Outside London","15","[c]","21330","21160"
"Leaver CS","2022","16-19","South East (England)","Outside London","20","[c]","21940","21550"
"Leaver CS","2022","16-19","South West (England)","Outside London","20","[c]","18650","17180"
"Leaver CS","2022","16-19","Unknown","Unknown","20","[c]","19680","18310"
"Leaver CS","2022","16-19","Wales","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","West Midlands (England)","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Yorkshire and The Humber","Outside London","20","[c]","21510","20970"
"Leaver CS","2022","20-29","East Midlands (England)","Outside London","515","[c]","23300","21260"
"Leaver CS","2022","20-29","East of England","Outside London","545","[c]","25830","24920"
"Leaver CS","2022","20-29","London","London","3075","[c]","31110","30310"
"Leaver CS","2022","20-29","North East (England)","Outside London","505","[c]","23360","21260"
"Leaver CS","2022","20-29","North West (England)","Outside London","995","[c]","24100","21260"
"Leaver CS","2022","20-29","Northern Ireland","Outside London","45","[c]","24490","21680"
"Leaver CS","2022","20-29","Overseas","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Scotland","Outside London","685","[c]","25540","23780"
"Leaver CS","2022","20-29","South East (England)","Outside London","985","[c]","24880","24370"
"Leaver CS","2022","20-29","South West (England)","Outside London","1020","[c]","24850","23140"
"Leaver CS","2022","20-29","Unknown","Unknown","300","[c]","25130","21840"
"Leaver CS","2022","20-29","Wales","Outside London","555","[c]","24220","21300"
"Leaver CS","2022","20-29","West Midlands (England)","Outside London","670","[c]","24480","21300"
"Leaver CS","2022","20-29","Yorkshire and The Humber","Outside London","790","[c]","24340","21680"
"Leaver CS","2022","30-39","East Midlands (England)","Outside London","390","[c]","28300","27130"
"Leaver CS","2022","30-39","East of England","Outside London","485","[c]","30420","27570"
"Leaver CS","2022","30-39","London","London","2180","[c]","42620","39840"
"Leaver CS","2022","30-39","North East (England)","Outside London","390","[c]","29190","24250"
"Leaver CS","2022","30-39","North West (England)","Outside London","740","[c]","28430","26420"
"Leaver CS","2022","30-39","Northern Ireland","Outside London","45","[c]","27960","24880"
"Leaver CS","2022","30-39","Overseas","Overseas","30","[c]","40990","38860"
"Leaver CS","2022","30-39","Scotland","Outside London","565","[c]","29930","27570"
"Leaver CS","2022","30-39","South East (England)","Outside London","745","[c]","30240","27570"
"Leaver CS","2022","30-39","South West (England)","Outside London","720","[c]","32700","30590"
"Leaver CS","2022","30-39","Unknown","Unknown","290","[c]","31130","27780"
"Leaver CS","2022","30-39","Wales","Outside London","385","[c]","29640","27570"
"Leaver CS","2022","30-39","West Midlands (England)","Outside London","485","[c]","30340","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Outside London","630","[c]","30940","27570"
"Leaver CS","2022","40-49","East Midlands (England)","Outside London","300","[c]","29110","27570"
"Leaver CS","2022","40-49","East of England","Outside London","380","[c]","32200","27570"
"Leaver CS","2022","40-49","London","London","1405","[c]","49490","45200"
"Leaver CS","2022","40-49","North East (England)","Outside London","310","[c]","29070","24500"
"Leaver CS","2022","40-49","North West (England)","Outside London","550","[c]","31710","27570"
"Leaver CS","2022","40-49","Northern Ireland","Outside London","30","[c]","28680","24880"
"Leaver CS","2022","40-49","Overseas","Overseas","35","[c]","42340","40120"
"Leaver CS","2022","40-49","Scotland","Outside London","460","[c]","33880","27570"
"Leaver CS","2022","40-49","South East (England)","Outside London","630","[c]","33080","29120"
"Leaver CS","2022","40-49","South West (England)","Outside London","545","[c]","36510","33000"
"Leaver CS","2022","40-49","Unknown","Unknown","180","[c]","33960","27570"
"Leaver CS","2022","40-49","Wales","Outside London","255","[c]","32970","26700"
"Leaver CS","2022","40-49","West Midlands (England)","Outside London","385","[c]","34010","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Outside London","445","[c]","34910","27570"
"Leaver CS","2022","50-59","East Midlands (England)","Outside London","485","[c]","31500","27570"
"Leaver CS","2022","50-59","East of England","Outside London","595","[c]","33910","27900"
"Leaver CS","2022","50-59","London","London","1385","[c]","48880","41030"
"Leaver CS","2022","50-59","North East (England)","Outside London","485","[c]","31480","26770"
"Leaver CS","2022","50-59","North West (England)","Outside London","945","[c]","32430","27570"
"Leaver CS","2022","50-59","Northern Ireland","Outside London","55","[c]","29980","23380"
"Leaver CS","2022","50-59","Overseas","Overseas","30","[c]","49930","46600"
"Leaver CS","2022","50-59","Scotland","Outside London","795","[c]","34170","27570"
"Leaver CS","2022","50-59","South East (England)","Outside London","945","[c]","32200","27570"
"Leaver CS","2022","50-59","South West (England)","Outside London","720","[c]","36240","32800"
"Leaver CS","2022","50-59","Unknown","Unknown","180","[c]","39640","32700"
"Leaver CS","2022","50-59","Wales","Outside London","395","[c]","34140","27570"
"Leaver CS","2022","50-59","West Midlands (England)","Outside London","505","[c]","35680","27570"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Outside London","690","[c]","32740","27570"
"Leaver CS","2022","60-64","East Midlands (England)","Outside London","345","[c]","31490","27570"
"Leaver CS","2022","60-64","East of England","Outside London","375","[c]","33600","29290"
"Leaver CS","2022","60-64","London","London","925","[c]","47860","39950"
"Leaver CS","2022","60-64","North East (England)","Outside London","485","[c]","30320","27570"
"Leaver CS","2022","60-64","North West (England)","Outside London","725","[c]","31300","27570"
"Leaver CS","2022","60-64","Northern Ireland","Outside London","45","[c]","30080","26660"
"Leaver CS","2022","60-64","Overseas","Overseas","30","[c]","55960","47990"
"Leaver CS","2022","60-64","Scotland","Outside London","705","[c]","36930","31990"
"Leaver CS","2022","60-64","South East (England)","Outside London","655","[c]","33300","28350"
"Leaver CS","2022","60-64","South West (England)","Outside London","575","[c]","36580","33630"
"Leaver CS","2022","60-64","Unknown","Unknown","145","[c]","35210","30780"
"Leaver CS","2022","60-64","Wales","Outside London","325","[c]","36330","27570"
"Leaver CS","2022","60-64","West Midlands (England)","Outside London","390","[c]","31860","27570"
"Leaver CS","2022","60-64","Yorkshire and The Humber","Outside London","530","[c]","32370","27570"
"Leaver CS","2022","65+","East Midlands (England)","Outside London","240","[c]","26830","21300"
"Leaver CS","2022","65+","East of England","Outside London","290","[c]","29950","27130"
"Leaver CS","2022","65+","London","London","650","[c]","39010","31060"
"Leaver CS","2022","65+","North East (England)","Outside London","370","[c]","25260","21260"
"Leaver CS","2022","65+","North West (England)","Outside London","645","[c]","27010","23840"
"Leaver CS","2022","65+","Northern Ireland","Outside London","40","[c]","25860","22080"
"Leaver CS","2022","65+","Overseas","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Scotland","Outside London","510","[c]","30370","26790"
"Leaver CS","2022","65+","South East (England)","Outside London","585","[c]","28930","26670"
"Leaver CS","2022","65+","South West (England)","Outside London","470","[c]","32770","27570"
"Leaver CS","2022","65+","Unknown","Unknown","90","[c]","28680","22690"
"Leaver CS","2022","65+","Wales","Outside London","275","[c]","30980","26780"
"Leaver CS","2022","65+","West Midlands (England)","Outside London","285","[c]","28600","26440"
"Leaver CS","2022","65+","Yorkshire and The Humber","Outside London","390","[c]","27660","26670"
"Leaver CS","2022","Unknown","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","London","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","East Midlands (England)","Outside London","175","[c]","25120","23390"
"Leaver Dept.","2022","20-29","East of England","Outside London","135","[c]","28200","25620"
"Leaver Dept.","2022","20-29","London","London","3645","[c]","34420","32330"
"Leaver Dept.","2022","20-29","North East (England)","Outside London","250","[c]","25640","24950"
"Leaver Dept.","2022","20-29","North West (England)","Outside London","555","[c]","25610","24890"
"Leaver Dept.","2022","20-29","Northern Ireland","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Overseas","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scotland","Outside London","300","[c]","26290","26670"
"Leaver Dept.","2022","20-29","South East (England)","Outside London","230","[c]","27960","27570"
"Leaver Dept.","2022","20-29","South West (England)","Outside London","550","[c]","26260","26050"
"Leaver Dept.","2022","20-29","Unknown","Unknown","300","[c]","32290","32000"
"Leaver Dept.","2022","20-29","Wales","Outside London","220","[c]","28470","27570"
"Leaver Dept.","2022","20-29","West Midlands (England)","Outside London","340","[c]","25000","24250"
"Leaver Dept.","2022","20-29","Yorkshire and The Humber","Outside London","445","[c]","28810","27570"
"Leaver Dept.","2022","30-39","East Midlands (England)","Outside London","160","[c]","30120","27570"
"Leaver Dept.","2022","30-39","East of England","Outside London","165","[c]","33340","30760"
"Leaver Dept.","2022","30-39","London","London","3045","[c]","44650","40780"
"Leaver Dept.","2022","30-39","North East (England)","Outside London","290","[c]","30260","27570"
"Leaver Dept.","2022","30-39","North West (England)","Outside London","590","[c]","30400","27570"
"Leaver Dept.","2022","30-39","Northern Ireland","Outside London","20","[c]","31230","26260"
"Leaver Dept.","2022","30-39","Overseas","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Scotland","Outside London","395","[c]","29350","27570"
"Leaver Dept.","2022","30-39","South East (England)","Outside London","240","[c]","36760","35770"
"Leaver Dept.","2022","30-39","South West (England)","Outside London","560","[c]","34820","33480"
"Leaver Dept.","2022","30-39","Unknown","Unknown","215","[c]","39790","33250"
"Leaver Dept.","2022","30-39","Wales","Outside London","255","[c]","33450","29540"
"Leaver Dept.","2022","30-39","West Midlands (England)","Outside London","380","[c]","29490","27570"
"Leaver Dept.","2022","30-39","Yorkshire and The Humber","Outside London","455","[c]","35500","31990"
"Leaver Dept.","2022","40-49","East Midlands (England)","Outside London","160","[c]","36460","31990"
"Leaver Dept.","2022","40-49","East of England","Outside London","155","[c]","38730","33370"
"Leaver Dept.","2022","40-49","London","London","1960","[c]","51890","51550"
"Leaver Dept.","2022","40-49","North East (England)","Outside London","255","[c]","34890","29390"
"Leaver Dept.","2022","40-49","North West (England)","Outside London","495","[c]","35890","30820"
"Leaver Dept.","2022","40-49","Northern Ireland","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Overseas","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Scotland","Outside London","305","[c]","32050","27570"
"Leaver Dept.","2022","40-49","South East (England)","Outside London","275","[c]","42740","38580"
"Leaver Dept.","2022","40-49","South West (England)","Outside London","520","[c]","41240","38300"
"Leaver Dept.","2022","40-49","Unknown","Unknown","140","[c]","41860","32440"
"Leaver Dept.","2022","40-49","Wales","Outside London","160","[c]","36830","31990"
"Leaver Dept.","2022","40-49","West Midlands (England)","Outside London","335","[c]","36090","29730"
"Leaver Dept.","2022","40-49","Yorkshire and The Humber","Outside London","405","[c]","41300","37300"
"Leaver Dept.","2022","50-59","East Midlands (England)","Outside London","115","[c]","38680","31980"
"Leaver Dept.","2022","50-59","East of England","Outside London","155","[c]","46910","37440"
"Leaver Dept.","2022","50-59","London","London","1290","[c]","52560","47100"
"Leaver Dept.","2022","50-59","North East (England)","Outside London","165","[c]","36220","28700"
"Leaver Dept.","2022","50-59","North West (England)","Outside London","360","[c]","37600","31250"
"Leaver Dept.","2022","50-59","Northern Ireland","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Overseas","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Scotland","Outside London","220","[c]","32610","27570"
"Leaver Dept.","2022","50-59","South East (England)","Outside London","240","[c]","45520","40110"
"Leaver Dept.","2022","50-59","South West (England)","Outside London","375","[c]","44850","40580"
"Leaver Dept.","2022","50-59","Unknown","Unknown","75","[c]","46170","41090"
"Leaver Dept.","2022","50-59","Wales","Outside London","90","[c]","35640","27570"
"Leaver Dept.","2022","50-59","West Midlands (England)","Outside London","200","[c]","41110","33890"
"Leaver Dept.","2022","50-59","Yorkshire and The Humber","Outside London","315","[c]","42520","36330"
"Leaver Dept.","2022","60-64","East Midlands (England)","Outside London","15","[c]","35210","28180"
"Leaver Dept.","2022","60-64","East of England","Outside London","40","[c]","43800","36060"
"Leaver Dept.","2022","60-64","London","London","225","[c]","55860","45850"
"Leaver Dept.","2022","60-64","North East (England)","Outside London","25","[c]","42420","33140"
"Leaver Dept.","2022","60-64","North West (England)","Outside London","45","[c]","42000","27570"
"Leaver Dept.","2022","60-64","Overseas","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Scotland","Outside London","20","[c]","31370","27570"
"Leaver Dept.","2022","60-64","South East (England)","Outside London","50","[c]","50000","42460"
"Leaver Dept.","2022","60-64","South West (England)","Outside London","100","[c]","49070","40790"
