"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","20","20","[c]","[c]"
"In post","2022","16-19","Cheshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Devon","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Unknown","Female","[c]","[c]","[c]","[c]"
