"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","16-19","Barnet","AA/AO","AA","5","0","[c]","[c]"
"In post","2022","16-19","Barnet","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","90","90","18650","18030"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Bedford","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedford","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Belfast","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bexley and Greenwich","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bexley and Greenwich","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Birmingham","AA/AO","AO","25","25","21500","21250"
"In post","2022","16-19","Birmingham","EO","EO","10","10","24450","24910"
"In post","2022","16-19","Blackpool","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Blackpool","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bradford","AA/AO","AO","20","15","21250","21250"
"In post","2022","16-19","Bradford","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Breckland and South Norfolk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Brent","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bridgend and Neath Port Talbot","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Brighton and Hove","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bristol, City of","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bristol, City of","AA/AO","AO","10","10","20890","21250"
"In post","2022","16-19","Bristol, City of","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Buckinghamshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Buckinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Buckinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Calderdale and Kirklees","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Calderdale and Kirklees","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cambridgeshire CC","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Cambridgeshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Camden and City of London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Camden and City of London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Camden and City of London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cardiff and Vale of Glamorgan","AA/AO","AO","20","20","21230","21250"
"In post","2022","16-19","Cardiff and Vale of Glamorgan","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Central Hampshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Central Hampshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Central Valleys","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire East","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","City of Edinburgh","AA/AO","AA","20","20","21460","21050"
"In post","2022","16-19","City of Edinburgh","AA/AO","AO","15","15","21910","21250"
"In post","2022","16-19","City of Edinburgh","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","Clackmannanshire and Fife","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Clackmannanshire and Fife","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Coventry","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Coventry","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Croydon","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Croydon","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Croydon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dudley","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Durham","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Durham","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Durham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Ayrshire and North Ayrshire mainland","EO","EO","10","10","[c]","[c]"
"In post","2022","16-19","East Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Kent","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Kent","AA/AO","AO","15","15","22200","21680"
"In post","2022","16-19","East Kent","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","East Merseyside","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Riding of Yorkshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Surrey","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Sussex CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Sussex CC","AA/AO","AO","[c]","[c]","[c]","[c]"
