"Status","Year","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Heterosexual / straight","670","650","22020","21260"
"In post","2022","16-19","LGBO","50","50","22780","21640"
"In post","2022","16-19","Undeclared","45","40","21930","21580"
"In post","2022","16-19","Unknown","515","495","21390","21250"
"In post","2022","20-29","Heterosexual / straight","50930","50235","29900","27570"
"In post","2022","20-29","LGBO","6655","6585","30450","27570"
"In post","2022","20-29","Undeclared","4420","4355","31810","29550"
"In post","2022","20-29","Unknown","22570","22250","28820","27120"
"In post","2022","30-39","Heterosexual / straight","74690","71030","35230","31420"
"In post","2022","30-39","LGBO","6510","6395","36020","32000"
"In post","2022","30-39","Undeclared","7260","6965","36660","33080"
"In post","2022","30-39","Unknown","23070","21905","34020","30360"
"In post","2022","40-49","Heterosexual / straight","79935","75205","37490","32560"
"In post","2022","40-49","LGBO","4280","4160","39130","33080"
"In post","2022","40-49","Undeclared","9875","9290","36820","32180"
"In post","2022","40-49","Unknown","22405","20725","36120","30820"
"In post","2022","50-59","Heterosexual / straight","97375","91920","35760","31020"
"In post","2022","50-59","LGBO","3590","3445","36890","31650"
"In post","2022","50-59","Undeclared","15425","14480","35220","30830"
"In post","2022","50-59","Unknown","26650","24580","34660","29230"
"In post","2022","60-64","Heterosexual / straight","27320","22870","32300","27570"
"In post","2022","60-64","LGBO","745","635","33520","27700"
"In post","2022","60-64","Undeclared","4705","3850","32250","27570"
"In post","2022","60-64","Unknown","7795","6270","31910","27570"
"In post","2022","65+","Heterosexual / straight","8315","6495","30930","27370"
"In post","2022","65+","LGBO","210","170","30720","27570"
"In post","2022","65+","Undeclared","1515","1155","31920","27570"
"In post","2022","65+","Unknown","2540","1875","31710","27570"
"In post","2022","Unknown","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Heterosexual / straight","75","[c]","21370","21260"
"Leaver CS","2022","16-19","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","100","[c]","20060","20370"
"Leaver CS","2022","20-29","Heterosexual / straight","5335","[c]","26830","25120"
"Leaver CS","2022","20-29","LGBO","750","[c]","26910","24920"
"Leaver CS","2022","20-29","Undeclared","655","[c]","27750","26370"
"Leaver CS","2022","20-29","Unknown","3950","[c]","25840","23720"
"Leaver CS","2022","30-39","Heterosexual / straight","4495","[c]","33920","29670"
"Leaver CS","2022","30-39","LGBO","460","[c]","33670","29890"
"Leaver CS","2022","30-39","Undeclared","565","[c]","36120","32330"
"Leaver CS","2022","30-39","Unknown","2555","[c]","34060","29360"
"Leaver CS","2022","40-49","Heterosexual / straight","3390","[c]","37270","30990"
"Leaver CS","2022","40-49","LGBO","240","[c]","36490","29030"
"Leaver CS","2022","40-49","Undeclared","435","[c]","38640","32980"
"Leaver CS","2022","40-49","Unknown","1850","[c]","38480","31060"
"Leaver CS","2022","50-59","Heterosexual / straight","4650","[c]","35880","28670"
"Leaver CS","2022","50-59","LGBO","210","[c]","39850","31000"
"Leaver CS","2022","50-59","Undeclared","735","[c]","36710","31060"
"Leaver CS","2022","50-59","Unknown","2615","[c]","37760","28490"
"Leaver CS","2022","60-64","Heterosexual / straight","3450","[c]","36430","29550"
"Leaver CS","2022","60-64","LGBO","105","[c]","34380","28000"
"Leaver CS","2022","60-64","Undeclared","665","[c]","34630","29200"
"Leaver CS","2022","60-64","Unknown","2035","[c]","35740","29840"
"Leaver CS","2022","65+","Heterosexual / straight","2725","[c]","30220","26780"
"Leaver CS","2022","65+","LGBO","80","[c]","29830","25990"
"Leaver CS","2022","65+","Undeclared","530","[c]","29810","26780"
"Leaver CS","2022","65+","Unknown","1515","[c]","32030","27570"
"Leaver CS","2022","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Heterosexual / straight","3975","[c]","30380","28230"
"Leaver Dept.","2022","20-29","LGBO","575","[c]","31440","29160"
"Leaver Dept.","2022","20-29","Undeclared","755","[c]","30500","28560"
"Leaver Dept.","2022","20-29","Unknown","1865","[c]","31470","32000"
"Leaver Dept.","2022","30-39","Heterosexual / straight","4120","[c]","37590","33520"
"Leaver Dept.","2022","30-39","LGBO","400","[c]","38700","36330"
"Leaver Dept.","2022","30-39","Undeclared","705","[c]","39450","36740"
"Leaver Dept.","2022","30-39","Unknown","1570","[c]","38570","33520"
"Leaver Dept.","2022","40-49","Heterosexual / straight","3170","[c]","42670","37300"
"Leaver Dept.","2022","40-49","LGBO","195","[c]","45230","40150"
"Leaver Dept.","2022","40-49","Undeclared","625","[c]","42950","39430"
"Leaver Dept.","2022","40-49","Unknown","1195","[c]","45160","40670"
"Leaver Dept.","2022","50-59","Heterosexual / straight","2210","[c]","43590","36330"
"Leaver Dept.","2022","50-59","LGBO","100","[c]","46900","39150"
"Leaver Dept.","2022","50-59","Undeclared","495","[c]","45960","40560"
"Leaver Dept.","2022","50-59","Unknown","815","[c]","49130","40570"
"Leaver Dept.","2022","60-64","Heterosexual / straight","375","[c]","46370","36510"
"Leaver Dept.","2022","60-64","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Undeclared","95","[c]","52490","38700"
"Leaver Dept.","2022","60-64","Unknown","160","[c]","59510","48860"
"Leaver Dept.","2022","65+","Heterosexual / straight","135","[c]","44090","32450"
"Leaver Dept.","2022","65+","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Undeclared","35","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Unknown","45","[c]","57940","44430"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Heterosexual / straight","495","[c]","22120","21260"
"New entrant CS","2022","16-19","LGBO","50","[c]","22970","21740"
"New entrant CS","2022","16-19","Undeclared","25","[c]","[c]","[c]"
