"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA","Heterosexual / straight","50","45","21040","21250"
"In post","2022","Declared disabled","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","AO","Heterosexual / straight","595","515","22890","21490"
"In post","2022","Declared disabled","Asian","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","AO","Undeclared","65","55","22670","21260"
"In post","2022","Declared disabled","Asian","AO","Unknown","70","55","22680","22080"
"In post","2022","Declared disabled","Asian","EO","Heterosexual / straight","935","860","28610","27570"
"In post","2022","Declared disabled","Asian","EO","LGBO","35","35","28620","27850"
"In post","2022","Declared disabled","Asian","EO","Undeclared","65","60","28350","27570"
"In post","2022","Declared disabled","Asian","EO","Unknown","70","60","28700","27570"
"In post","2022","Declared disabled","Asian","G6","Heterosexual / straight","60","60","68970","67910"
"In post","2022","Declared disabled","Asian","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G7","Heterosexual / straight","190","185","55850","54850"
"In post","2022","Declared disabled","Asian","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","HEO","Heterosexual / straight","395","380","34550","34260"
"In post","2022","Declared disabled","Asian","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","HEO","Undeclared","35","35","33890","33500"
"In post","2022","Declared disabled","Asian","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO","Heterosexual / straight","265","260","41760","41000"
