"Status","Year","Disability","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","G7","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","HEO","30","30","34620","33370"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","SEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","HEO","60","55","31360","30710"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","SEO","70","65","38840","38340"
