"Status","Year","Disability","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
