"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","London","60","60","48970","40860"
"In post","2022","Declared disabled","Analysis","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Wales","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","North West (England)","10","10","[c]","[c]"
