"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","London","Heterosexual / straight","200","185","47040","42220"
"In post","2022","Declared disabled","Analysis","London","LGBO","45","45","44280","41700"
"In post","2022","Declared disabled","Analysis","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outside London","Heterosexual / straight","285","265","39050","37050"
"In post","2022","Declared disabled","Analysis","Outside London","LGBO","70","65","36390","33370"
"In post","2022","Declared disabled","Analysis","Outside London","Undeclared","40","35","37550","33050"
"In post","2022","Declared disabled","Analysis","Outside London","Unknown","40","40","35710","35740"
"In post","2022","Declared disabled","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Heterosexual / straight","65","65","42960","40650"
"In post","2022","Declared disabled","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","Heterosexual / straight","275","265","39040","37400"
"In post","2022","Declared disabled","Commercial","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","Undeclared","40","40","37780","38190"
"In post","2022","Declared disabled","Commercial","Outside London","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","Heterosexual / straight","95","90","42970","40910"
"In post","2022","Declared disabled","Communications","London","LGBO","30","30","43070","39350"
"In post","2022","Declared disabled","Communications","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","Heterosexual / straight","350","330","32570","30040"
"In post","2022","Declared disabled","Communications","Outside London","LGBO","50","50","30840","29480"
"In post","2022","Declared disabled","Communications","Outside London","Undeclared","45","40","31020","30410"
"In post","2022","Declared disabled","Communications","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
