"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","AO","30","30","21990","21510"
"In post","2022","Declared disabled","Analysis","EO","EO","75","75","27260","26820"
"In post","2022","Declared disabled","Analysis","G6/G7","G6","55","50","70620","69710"
"In post","2022","Declared disabled","Analysis","G6/G7","G7","135","125","55420","54980"
"In post","2022","Declared disabled","Analysis","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO/HEO","HEO","220","210","33270","33080"
"In post","2022","Declared disabled","Analysis","SEO/HEO","SEO","190","180","40400","39850"
"In post","2022","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","AO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","EO","75","70","26850","26670"
"In post","2022","Declared disabled","Commercial","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","G7","60","60","52530","53360"
"In post","2022","Declared disabled","Commercial","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","HEO","105","105","32820","33300"
"In post","2022","Declared disabled","Commercial","SEO/HEO","SEO","140","135","40360","40580"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","AO","55","45","21660","21330"
"In post","2022","Declared disabled","Communications","EO","EO","200","190","27220","26820"
"In post","2022","Declared disabled","Communications","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","G7","60","60","53850","54160"
"In post","2022","Declared disabled","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","HEO","175","170","33690","33370"
"In post","2022","Declared disabled","Communications","SEO/HEO","SEO","85","80","41570","40710"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","AO","415","360","22360","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","EO","890","795","28180","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","G6","25","25","[c]","[c]"
