"Status","Year","Disability","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
