"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","65","60","25150","24250"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","HEO","80","70","32910","31640"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","AO","145","130","22030","21300"
"In post","2022","Declared disabled","Animal and Plant Health Agency","EO","120","115","26310","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","HEO","70","65","31080","30670"
"In post","2022","Declared disabled","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","SEO","35","35","38510","37910"
"In post","2022","Declared disabled","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AO","70","65","21790","21050"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","130","125","26880","27500"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6","70","70","66870","64920"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G7","200","200","54520","54700"
