"Status","Year","Disability","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","45","40","37450","30130"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","East Anglia","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","Essex","35","30","40880","36240"
"In post","2022","Declared disabled","Attorney General's Departments","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","Inner London - West","425","395","49770","51830"
"In post","2022","Declared disabled","Attorney General's Departments","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","30","30","35650","28430"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","Tees Valley and Durham","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Greater Manchester","50","45","41300","46000"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Lancashire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","Merseyside","50","45","38070","31490"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","35","30","39290","32570"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","Kent","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","Devon","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","East Wales","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","West Midlands","50","45","43020","48080"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","60","55","40410","34480"
"In post","2022","Declared disabled","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East of England","East Anglia","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","Inner London - East","120","115","51220","54700"
"In post","2022","Declared disabled","Cabinet Office","London","Inner London - West","400","390","48390","42270"
"In post","2022","Declared disabled","Cabinet Office","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","North East (England)","Northumberland, and Tyne and Wear","65","60","28870","24100"
"In post","2022","Declared disabled","Cabinet Office","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Greater Manchester","35","35","43110","40000"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","Merseyside","35","35","38170","32000"
"In post","2022","Declared disabled","Cabinet Office","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Scotland","West Central Scotland","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Wales","East Wales","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","West Midlands (England)","West Midlands","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","North Yorkshire","75","75","31580","32000"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","South Yorkshire","15","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","West Yorkshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","Inner London - West","25","25","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Inner London - West","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","North West (England)","Merseyside","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Inner London - East","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","30670","29320"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","East Anglia","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Inner London - East","25","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Inner London - West","530","520","47750","43630"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Northumberland, and Tyne and Wear","40","35","34160","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Greater Manchester","60","55","33170","30970"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","North Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","West Central Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Kent","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Devon","120","115","35370","36160"
