"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","510","455","22470","21260"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","535","485","27120","27570"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","115","110","57610","55210"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","415","395","35710","33680"
"In post","2022","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","165","150","30290","28200"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","350","310","21900","21260"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","255","235","27410","27570"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","80","75","37240","34290"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","95","85","30410","30880"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","AA/AO","155","145","22230","21260"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","EO","125","110","27610","27570"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","SEO/HEO","70","70","36280","34430"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","50","45","31410","28200"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","AA/AO","120","110","23830","23230"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","EO","225","205","29080","29290"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","G6/G7","30","30","64270","61890"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","SEO/HEO","95","90","39700","38080"
"In post","2022","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","70","65","29160","28200"
"In post","2022","Declared disabled","East of England","East Anglia","AA/AO","490","440","23400","21500"
"In post","2022","Declared disabled","East of England","East Anglia","EO","465","420","27620","27570"
"In post","2022","Declared disabled","East of England","East Anglia","G6/G7","50","50","56980","54540"
"In post","2022","Declared disabled","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","East Anglia","SEO/HEO","345","325","36780","34290"
