"Status","Year","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Derby","175","155","25660","22510"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","90","80","27060","27570"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","345","310","26550","25120"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","215","195","28810","27380"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","415","385","28500","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","100","85","26130","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","155","145","29080","27570"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","1045","970","31060","27570"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","140","125","31530","27570"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","125","120","31730","29180"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","145","130","27130","26310"
"In post","2022","Declared disabled","East of England","Bedford","105","95","30790","28140"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","50","50","28380","27570"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","375","355","32500","30890"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","40","40","33780","26840"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","115","100","29690","29290"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","170","150","27930","28710"
"In post","2022","Declared disabled","East of England","Heart of Essex","140","130","32070","29290"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","320","300","33520","30020"
"In post","2022","Declared disabled","East of England","Luton","80","75","27640","27570"
"In post","2022","Declared disabled","East of England","North and West Norfolk","110","105","28730","27570"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","275","245","28240","27570"
"In post","2022","Declared disabled","East of England","Peterborough","220","200","28990","26740"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","160","145","32040","29290"
"In post","2022","Declared disabled","East of England","Suffolk CC","440","400","28950","27570"
"In post","2022","Declared disabled","East of England","Thurrock","40","35","28480","29290"
"In post","2022","Declared disabled","East of England","West Essex","65","60","30410","29290"
"In post","2022","Declared disabled","London","Barking & Dagenham and Havering","120","105","31390","31060"
"In post","2022","Declared disabled","London","Barnet","130","125","35060","31880"
"In post","2022","Declared disabled","London","Bexley and Greenwich","190","180","31460","31060"
"In post","2022","Declared disabled","London","Brent","60","55","30660","31060"
"In post","2022","Declared disabled","London","Bromley","95","90","33580","31060"
"In post","2022","Declared disabled","London","Camden and City of London","210","200","34910","28670"
"In post","2022","Declared disabled","London","Croydon","1030","965","38300","35050"
"In post","2022","Declared disabled","London","Ealing","90","85","33770","31060"
"In post","2022","Declared disabled","London","Enfield","55","50","33220","31060"
"In post","2022","Declared disabled","London","Hackney and Newham","710","665","37870","31880"
"In post","2022","Declared disabled","London","Haringey and Islington","210","200","32930","31060"
"In post","2022","Declared disabled","London","Harrow and Hillingdon","330","295","31510","30380"
"In post","2022","Declared disabled","London","Hounslow and Richmond upon Thames","265","250","32230","31060"
"In post","2022","Declared disabled","London","Kensington & Chelsea and Hammersmith & Fulham","80","75","32160","31060"
"In post","2022","Declared disabled","London","Lambeth","255","245","37480","32330"
"In post","2022","Declared disabled","London","Lewisham and Southwark","185","180","32820","31060"
"In post","2022","Declared disabled","London","Merton, Kingston upon Thames and Sutton","80","75","31660","31060"
"In post","2022","Declared disabled","London","Redbridge and Waltham Forest","170","155","29360","30330"
"In post","2022","Declared disabled","London","Tower Hamlets","500","475","45290","40600"
"In post","2022","Declared disabled","London","Wandsworth","110","100","32570","31060"
"In post","2022","Declared disabled","London","Westminster","5055","4900","46360","41750"
"In post","2022","Declared disabled","North East (England)","Darlington","150","140","35080","30320"
"In post","2022","Declared disabled","North East (England)","Durham","610","540","27300","25830"
"In post","2022","Declared disabled","North East (England)","Hartlepool and Stockton-on-Tees","250","220","27640","27570"
