"Status","Year","Disability","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Outside London","Heterosexual / straight","2220","2025","29210","27570"
"In post","2022","Declared disabled","East Midlands (England)","Outside London","LGBO","245","235","29630","27570"
"In post","2022","Declared disabled","East Midlands (England)","Outside London","Undeclared","315","290","29290","27570"
"In post","2022","Declared disabled","East Midlands (England)","Outside London","Unknown","170","155","27540","27130"
"In post","2022","Declared disabled","East of England","Outside London","Heterosexual / straight","2090","1905","30600","28010"
"In post","2022","Declared disabled","East of England","Outside London","LGBO","190","180","28940","27570"
"In post","2022","Declared disabled","East of England","Outside London","Undeclared","275","250","30190","28200"
"In post","2022","Declared disabled","East of England","Outside London","Unknown","160","140","28840","27570"
"In post","2022","Declared disabled","London","London","Heterosexual / straight","7230","6880","41330","35900"
"In post","2022","Declared disabled","London","London","LGBO","1150","1125","43080","37930"
"In post","2022","Declared disabled","London","London","Undeclared","1015","960","40530","35070"
"In post","2022","Declared disabled","London","London","Unknown","535","495","38230","31880"
"In post","2022","Declared disabled","North East (England)","Outside London","Heterosexual / straight","2985","2645","28430","27130"
"In post","2022","Declared disabled","North East (England)","Outside London","LGBO","255","240","28420","27140"
"In post","2022","Declared disabled","North East (England)","Outside London","Undeclared","310","270","28490","26820"
"In post","2022","Declared disabled","North East (England)","Outside London","Unknown","280","235","25930","22080"
"In post","2022","Declared disabled","North West (England)","Outside London","Heterosexual / straight","5745","5200","29550","27570"
"In post","2022","Declared disabled","North West (England)","Outside London","LGBO","630","600","29520","27570"
"In post","2022","Declared disabled","North West (England)","Outside London","Undeclared","735","665","28700","27570"
"In post","2022","Declared disabled","North West (England)","Outside London","Unknown","575","495","27500","26750"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Heterosexual / straight","270","250","29470","26820"
"In post","2022","Declared disabled","Northern Ireland","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","Heterosexual / straight","170","170","48220","44140"
"In post","2022","Declared disabled","Overseas","Overseas","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Outside London","Heterosexual / straight","3390","3090","31520","27570"
"In post","2022","Declared disabled","Scotland","Outside London","LGBO","515","500","31650","27570"
"In post","2022","Declared disabled","Scotland","Outside London","Undeclared","395","355","30760","27570"
"In post","2022","Declared disabled","Scotland","Outside London","Unknown","540","480","31400","27570"
"In post","2022","Declared disabled","South East (England)","Outside London","Heterosexual / straight","3545","3255","30840","27570"
"In post","2022","Declared disabled","South East (England)","Outside London","LGBO","400","380","29880","28570"
"In post","2022","Declared disabled","South East (England)","Outside London","Undeclared","500","455","30690","27570"
"In post","2022","Declared disabled","South East (England)","Outside London","Unknown","280","245","30940","27570"
"In post","2022","Declared disabled","South West (England)","Outside London","Heterosexual / straight","3700","3425","32660","28640"
"In post","2022","Declared disabled","South West (England)","Outside London","LGBO","395","380","30580","27570"
"In post","2022","Declared disabled","South West (England)","Outside London","Undeclared","600","555","33090","29230"
"In post","2022","Declared disabled","South West (England)","Outside London","Unknown","295","270","32640","27570"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","105","95","32150","27700"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Wales","Outside London","Heterosexual / straight","2785","2515","29800","27570"
"In post","2022","Declared disabled","Wales","Outside London","LGBO","320","305","30540","27570"
"In post","2022","Declared disabled","Wales","Outside London","Undeclared","535","460","27440","23670"
"In post","2022","Declared disabled","Wales","Outside London","Unknown","185","155","27850","26590"
"In post","2022","Declared disabled","West Midlands (England)","Outside London","Heterosexual / straight","3060","2790","30040","27570"
"In post","2022","Declared disabled","West Midlands (England)","Outside London","LGBO","320","305","29560","27570"
"In post","2022","Declared disabled","West Midlands (England)","Outside London","Undeclared","390","350","29380","27570"
"In post","2022","Declared disabled","West Midlands (England)","Outside London","Unknown","260","225","28120","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Outside London","Heterosexual / straight","3365","3050","30900","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Outside London","LGBO","385","370","31160","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Outside London","Undeclared","400","355","30780","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Outside London","Unknown","215","185","28850","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Outside London","Heterosexual / straight","12170","11360","31180","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Outside London","LGBO","605","585","30410","27470"
"In post","2022","Declared non-disabled","East Midlands (England)","Outside London","Undeclared","1050","960","30910","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Outside London","Unknown","1450","1260","29320","27570"
"In post","2022","Declared non-disabled","East of England","Outside London","Heterosexual / straight","12470","11675","31380","28700"
"In post","2022","Declared non-disabled","East of England","Outside London","LGBO","540","530","30370","27570"
"In post","2022","Declared non-disabled","East of England","Outside London","Undeclared","1150","1050","30850","27570"
"In post","2022","Declared non-disabled","East of England","Outside London","Unknown","1365","1200","30880","28100"
"In post","2022","Declared non-disabled","London","London","Heterosexual / straight","54315","52295","44510","39420"
"In post","2022","Declared non-disabled","London","London","LGBO","3745","3680","46250","41750"
"In post","2022","Declared non-disabled","London","London","Undeclared","4975","4725","43310","37930"
"In post","2022","Declared non-disabled","London","London","Unknown","4340","4005","41120","34260"
"In post","2022","Declared non-disabled","North East (England)","Outside London","Heterosexual / straight","17355","15895","30590","27570"
"In post","2022","Declared non-disabled","North East (England)","Outside London","LGBO","905","875","30180","27570"
"In post","2022","Declared non-disabled","North East (England)","Outside London","Undeclared","1200","1075","29500","26820"
"In post","2022","Declared non-disabled","North East (England)","Outside London","Unknown","2550","2165","27630","22600"
"In post","2022","Declared non-disabled","North West (England)","Outside London","Heterosexual / straight","33330","31110","31130","27570"
"In post","2022","Declared non-disabled","North West (England)","Outside London","LGBO","1870","1820","30660","27570"
"In post","2022","Declared non-disabled","North West (England)","Outside London","Undeclared","2590","2365","30070","27570"
"In post","2022","Declared non-disabled","North West (England)","Outside London","Unknown","4950","4320","28100","27130"
"In post","2022","Declared non-disabled","Northern Ireland","Outside London","Heterosexual / straight","2260","2150","30300","26820"
"In post","2022","Declared non-disabled","Northern Ireland","Outside London","LGBO","90","85","28890","26590"
"In post","2022","Declared non-disabled","Northern Ireland","Outside London","Undeclared","110","105","29160","26220"
"In post","2022","Declared non-disabled","Northern Ireland","Outside London","Unknown","110","95","29980","26820"
