"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Female","80","70","23730","23230"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Male","40","40","24040","22680"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Female","155","135","29230","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Male","75","70","28750","29050"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Female","50","50","39920","38080"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Male","40","40","39420","38020"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Female","60","55","29290","28200"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","160","145","23920","22250"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","160","155","27200","25000"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","175","155","28410","27570"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","120","115","30160","28840"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","35","35","60210","56540"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","140","130","36290","35000"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","110","105","39360","38200"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","90","85","31340","28590"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","AA/AO","Female","80","70","21780","21260"
"In post","2022","Declared disabled","Cheshire","AA/AO","Male","50","50","23780","21320"
"In post","2022","Declared disabled","Cheshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","EO","Female","100","85","27950","27570"
"In post","2022","Declared disabled","Cheshire","EO","Male","70","65","28880","27570"
