"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Heterosexual / straight","90","85","33660","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Heterosexual / straight","190","175","25690","23230"
"In post","2022","Declared disabled","Angus and Dundee City","LGBO","40","40","25990","21260"
"In post","2022","Declared disabled","Angus and Dundee City","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","Heterosexual / straight","95","85","31330","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","Heterosexual / straight","105","100","35840","31880"
"In post","2022","Declared disabled","Barnet","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Heterosexual / straight","360","315","27340","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","LGBO","35","30","27620","27120"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Undeclared","35","30","26290","26000"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","1075","1025","36470","33330"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","95","90","31020","28710"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","190","180","39310","38600"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40","40","35810","35400"
"In post","2022","Declared disabled","Bedford","Heterosexual / straight","85","75","31120","28140"
"In post","2022","Declared disabled","Bedford","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Heterosexual / straight","200","185","30900","28920"
"In post","2022","Declared disabled","Belfast","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Heterosexual / straight","250","235","34060","30950"
"In post","2022","Declared disabled","Berkshire","LGBO","35","30","32750","29290"
"In post","2022","Declared disabled","Berkshire","Undeclared","35","30","30300","29290"
"In post","2022","Declared disabled","Berkshire","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","Heterosexual / straight","140","135","30870","31060"
"In post","2022","Declared disabled","Bexley and Greenwich","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Heterosexual / straight","1095","1010","31000","27570"
"In post","2022","Declared disabled","Birmingham","LGBO","120","115","31140","27570"
"In post","2022","Declared disabled","Birmingham","Undeclared","135","120","29210","27570"
"In post","2022","Declared disabled","Birmingham","Unknown","115","95","27460","26120"
"In post","2022","Declared disabled","Blackburn with Darwen","Heterosexual / straight","55","50","27740","27570"
"In post","2022","Declared disabled","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Heterosexual / straight","610","540","28290","27570"
"In post","2022","Declared disabled","Blackpool","LGBO","70","70","27660","27570"
"In post","2022","Declared disabled","Blackpool","Undeclared","85","75","29100","27570"
"In post","2022","Declared disabled","Blackpool","Unknown","80","70","26940","27570"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Heterosexual / straight","100","85","26160","26410"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Heterosexual / straight","255","220","26090","24090"
"In post","2022","Declared disabled","Bradford","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Undeclared","30","25","26800","26470"
"In post","2022","Declared disabled","Bradford","Unknown","30","25","23740","22080"
"In post","2022","Declared disabled","Breckland and South Norfolk","Heterosexual / straight","45","40","28030","27570"
"In post","2022","Declared disabled","Breckland and South Norfolk","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","Heterosexual / straight","40","40","30730","31060"
"In post","2022","Declared disabled","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Brent","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Heterosexual / straight","90","75","27480","27570"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Heterosexual / straight","65","60","31460","27570"
"In post","2022","Declared disabled","Brighton and Hove","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Brighton and Hove","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bristol, City of","Heterosexual / straight","540","495","33710","29180"
"In post","2022","Declared disabled","Bristol, City of","LGBO","90","85","33730","29270"
"In post","2022","Declared disabled","Bristol, City of","Undeclared","90","85","31020","28430"
"In post","2022","Declared disabled","Bristol, City of","Unknown","40","35","28820","26850"
"In post","2022","Declared disabled","Bromley","Heterosexual / straight","75","70","33530","31060"
"In post","2022","Declared disabled","Bromley","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bromley","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Buckinghamshire","Heterosexual / straight","150","140","32130","28670"
"In post","2022","Declared disabled","Buckinghamshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Buckinghamshire","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Buckinghamshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
