"Status","Year","Disability","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","AA/AO","AA","170","155","22820","22460"
"In post","2022","Declared disabled","London","AA/AO","AO","1150","1050","25790","25110"
"In post","2022","Declared disabled","London","EO","EO","2470","2320","30330","30750"
"In post","2022","Declared disabled","London","G6/G7","G6","685","655","68840","68010"
"In post","2022","Declared disabled","London","G6/G7","G7","1590","1535","56850","55420"
"In post","2022","Declared disabled","London","SCS level","SCS level","300","290","89650","80670"
"In post","2022","Declared disabled","London","SEO/HEO","HEO","1855","1800","35860","35200"
"In post","2022","Declared disabled","London","SEO/HEO","SEO","1295","1260","43280","42200"
"In post","2022","Declared disabled","London","Unknown","Unknown","415","400","35340","34100"
"In post","2022","Declared disabled","Outside London","AA/AO","AA","1810","1600","20340","20310"
"In post","2022","Declared disabled","Outside London","AA/AO","AO","12560","10975","22420","21260"
"In post","2022","Declared disabled","Outside London","EO","EO","13715","12380","27550","27570"
"In post","2022","Declared disabled","Outside London","G6/G7","G6","655","630","68540","67550"
"In post","2022","Declared disabled","Outside London","G6/G7","G7","2350","2255","53970","53750"
"In post","2022","Declared disabled","Outside London","SCS level","SCS level","170","170","87610","80000"
"In post","2022","Declared disabled","Outside London","SEO/HEO","HEO","6050","5710","33160","33080"
"In post","2022","Declared disabled","Outside London","SEO/HEO","SEO","3885","3710","41260","40520"
"In post","2022","Declared disabled","Outside London","Unknown","Unknown","3095","2880","30720","28200"
"In post","2022","Declared disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Overseas","G6/G7","G6","35","35","66920","65380"
"In post","2022","Declared disabled","Overseas","G6/G7","G7","60","60","55370","54470"
"In post","2022","Declared disabled","Overseas","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SEO/HEO","HEO","75","75","34540","33860"
"In post","2022","Declared disabled","Overseas","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","EO","65","60","28460","27570"
"In post","2022","Declared disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","London","AA/AO","AA","975","890","22950","22460"
"In post","2022","Declared non-disabled","London","AA/AO","AO","6515","6010","26370","25110"
"In post","2022","Declared non-disabled","London","EO","EO","13880","13155","30120","30470"
"In post","2022","Declared non-disabled","London","G6/G7","G6","6105","5855","69420","68240"
"In post","2022","Declared non-disabled","London","G6/G7","G7","13275","12855","56780","55650"
"In post","2022","Declared non-disabled","London","SCS level","SCS level","3150","3040","89880","81780"
"In post","2022","Declared non-disabled","London","SEO/HEO","HEO","12220","11950","35810","35200"
"In post","2022","Declared non-disabled","London","SEO/HEO","SEO","9750","9515","43240","42330"
"In post","2022","Declared non-disabled","London","Unknown","Unknown","1495","1435","34990","34100"
"In post","2022","Declared non-disabled","Outside London","AA/AO","AA","9960","9070","20290","20310"
"In post","2022","Declared non-disabled","Outside London","AA/AO","AO","69250","62095","22870","21300"
"In post","2022","Declared non-disabled","Outside London","EO","EO","72850","67145","27370","27570"
"In post","2022","Declared non-disabled","Outside London","G6/G7","G6","6825","6575","68410","67550"
"In post","2022","Declared non-disabled","Outside London","G6/G7","G7","20540","19755","54340","54000"
"In post","2022","Declared non-disabled","Outside London","SCS level","SCS level","1720","1670","89190","82980"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","HEO","41135","39245","33130","33080"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","SEO","30100","28875","41460","40520"
"In post","2022","Declared non-disabled","Outside London","Unknown","Unknown","11740","10965","31260","28200"
"In post","2022","Declared non-disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","AA/AO","AO","50","50","22270","22200"
"In post","2022","Declared non-disabled","Overseas","EO","EO","210","210","27580","27090"
"In post","2022","Declared non-disabled","Overseas","G6/G7","G6","305","305","66100","65210"
"In post","2022","Declared non-disabled","Overseas","G6/G7","G7","560","555","55860","54540"
"In post","2022","Declared non-disabled","Overseas","SCS level","SCS level","210","210","86410","78680"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","HEO","665","665","34680","33860"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","SEO","325","325","45710","41350"
"In post","2022","Declared non-disabled","Overseas","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AO","135","120","22850","21490"
"In post","2022","Declared non-disabled","Unknown","EO","EO","295","275","28420","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G7","70","70","52950","53370"
"In post","2022","Declared non-disabled","Unknown","SCS level","SCS level","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","HEO","160","160","35110","34170"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","SEO","75","70","40640","40250"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","75","75","29730","27370"
"In post","2022","Undeclared","London","AA/AO","AA","185","170","24300","25170"
"In post","2022","Undeclared","London","AA/AO","AO","695","635","28220","25630"
"In post","2022","Undeclared","London","EO","EO","1025","980","30730","30840"
"In post","2022","Undeclared","London","G6/G7","G6","445","435","69440","68510"
"In post","2022","Undeclared","London","G6/G7","G7","920","900","57370","56720"
"In post","2022","Undeclared","London","SCS level","SCS level","175","170","85540","80000"
"In post","2022","Undeclared","London","SEO/HEO","HEO","1030","1005","36140","35700"
"In post","2022","Undeclared","London","SEO/HEO","SEO","745","730","44300","43360"
"In post","2022","Undeclared","London","Unknown","Unknown","130","120","35070","33700"
"In post","2022","Undeclared","Outside London","AA/AO","AA","1350","1205","20760","20890"
"In post","2022","Undeclared","Outside London","AA/AO","AO","6555","5865","24950","21960"
"In post","2022","Undeclared","Outside London","EO","EO","5800","5400","28220","27570"
"In post","2022","Undeclared","Outside London","G6/G7","G6","355","340","68950","67910"
"In post","2022","Undeclared","Outside London","G6/G7","G7","1185","1150","54790","54540"
"In post","2022","Undeclared","Outside London","SCS level","SCS level","70","70","88280","81490"
"In post","2022","Undeclared","Outside London","SEO/HEO","HEO","3425","3270","33740","33300"
"In post","2022","Undeclared","Outside London","SEO/HEO","SEO","2410","2320","42390","40580"
"In post","2022","Undeclared","Outside London","Unknown","Unknown","775","725","32550","30210"
"In post","2022","Undeclared","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","EO","25","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","G7","40","40","56480","56000"
"In post","2022","Undeclared","Overseas","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","HEO","45","45","34860","33860"
"In post","2022","Undeclared","Overseas","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","EO","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","London","AA/AO","AA","300","290","22980","22460"
"In post","2022","Unknown","London","AA/AO","AO","1875","1795","26970","25620"
"In post","2022","Unknown","London","EO","EO","3745","3645","30250","29970"
"In post","2022","Unknown","London","G6/G7","G6","1850","1790","69600","67000"
"In post","2022","Unknown","London","G6/G7","G7","4455","4365","56600","54700"
"In post","2022","Unknown","London","SCS level","SCS level","860","835","97470","90100"
"In post","2022","Unknown","London","SEO/HEO","HEO","5395","5315","34480","34260"
