"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","AA/AO","1325","1205","25410","25110"
"In post","2022","Declared disabled","London","EO","2470","2320","30330","30750"
"In post","2022","Declared disabled","London","G6/G7","2270","2190","60450","59160"
"In post","2022","Declared disabled","London","SCS level","300","290","89650","80670"
"In post","2022","Declared disabled","London","SEO/HEO","3145","3055","38910","38240"
"In post","2022","Declared disabled","London","Unknown","415","400","35340","34100"
"In post","2022","Declared disabled","Outside London","AA/AO","14375","12570","22160","21260"
"In post","2022","Declared disabled","Outside London","EO","13715","12380","27550","27570"
"In post","2022","Declared disabled","Outside London","G6/G7","3005","2885","57150","55210"
"In post","2022","Declared disabled","Outside London","SCS level","170","170","87610","80000"
"In post","2022","Declared disabled","Outside London","SEO/HEO","9940","9420","36330","34640"
"In post","2022","Declared disabled","Outside London","Unknown","3095","2880","30720","28200"
"In post","2022","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Overseas","G6/G7","100","100","59690","58030"
"In post","2022","Declared disabled","Overseas","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SEO/HEO","100","100","36500","34350"
"In post","2022","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","65","60","28460","27570"
"In post","2022","Declared disabled","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","35","35","35160","33640"
"In post","2022","Declared disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","London","AA/AO","7490","6905","25920","25110"
"In post","2022","Declared non-disabled","London","EO","13880","13155","30120","30470"
"In post","2022","Declared non-disabled","London","G6/G7","19385","18710","60770","58940"
"In post","2022","Declared non-disabled","London","SCS level","3150","3040","89880","81780"
"In post","2022","Declared non-disabled","London","SEO/HEO","21970","21465","39110","38540"
"In post","2022","Declared non-disabled","London","Unknown","1495","1435","34990","34100"
"In post","2022","Declared non-disabled","Outside London","AA/AO","79205","71165","22550","21260"
"In post","2022","Declared non-disabled","Outside London","EO","72850","67145","27370","27570"
"In post","2022","Declared non-disabled","Outside London","G6/G7","27370","26330","57840","55210"
"In post","2022","Declared non-disabled","Outside London","SCS level","1720","1670","89190","82980"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","71235","68120","36650","35430"
"In post","2022","Declared non-disabled","Outside London","Unknown","11740","10965","31260","28200"
"In post","2022","Declared non-disabled","Overseas","AA/AO","55","55","22070","21830"
"In post","2022","Declared non-disabled","Overseas","EO","210","210","27580","27090"
"In post","2022","Declared non-disabled","Overseas","G6/G7","865","860","59480","57370"
"In post","2022","Declared non-disabled","Overseas","SCS level","210","210","86410","78680"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","990","990","38290","34770"
"In post","2022","Declared non-disabled","Overseas","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","150","135","22600","21280"
"In post","2022","Declared non-disabled","Unknown","EO","295","275","28420","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","90","85","55920","54700"
"In post","2022","Declared non-disabled","Unknown","SCS level","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","235","230","36830","36250"
"In post","2022","Declared non-disabled","Unknown","Unknown","75","75","29730","27370"
"In post","2022","Undeclared","London","AA/AO","880","805","27390","25630"
"In post","2022","Undeclared","London","EO","1025","980","30730","30840"
"In post","2022","Undeclared","London","G6/G7","1365","1335","61310","59850"
"In post","2022","Undeclared","London","SCS level","175","170","85540","80000"
"In post","2022","Undeclared","London","SEO/HEO","1775","1735","39570","38750"
"In post","2022","Undeclared","London","Unknown","130","120","35070","33700"
"In post","2022","Undeclared","Outside London","AA/AO","7905","7070","24240","21830"
"In post","2022","Undeclared","Outside London","EO","5800","5400","28220","27570"
"In post","2022","Undeclared","Outside London","G6/G7","1540","1490","58070","55210"
"In post","2022","Undeclared","Outside London","SCS level","70","70","88280","81490"
"In post","2022","Undeclared","Outside London","SEO/HEO","5835","5590","37310","36340"
"In post","2022","Undeclared","Outside London","Unknown","775","725","32550","30210"
"In post","2022","Undeclared","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","25","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","55","55","60170","57370"
"In post","2022","Undeclared","Overseas","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","65","65","37420","34770"
"In post","2022","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","20","15","[c]","[c]"
