"Status","Year","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","9930","9465","41290","35900"
"In post","2022","Declared disabled","Outside London","44300","40305","30230","27570"
"In post","2022","Declared disabled","Overseas","235","235","47790","44970"
"In post","2022","Declared disabled","Unknown","150","140","32460","28000"
"In post","2022","Declared non-disabled","London","67370","64700","44300","38750"
"In post","2022","Declared non-disabled","Outside London","264120","245390","32160","27570"
"In post","2022","Declared non-disabled","Overseas","2350","2340","49080","47470"
"In post","2022","Declared non-disabled","Unknown","850","805","33320","29390"
"In post","2022","Undeclared","London","5350","5150","42790","37660"
"In post","2022","Undeclared","Outside London","21925","20345","31650","28920"
"In post","2022","Undeclared","Overseas","160","155","46740","41820"
"In post","2022","Undeclared","Unknown","55","50","35620","31060"
"In post","2022","Unknown","London","22175","21640","43980","38600"
"In post","2022","Unknown","Outside London","67910","64190","31770","27230"
"In post","2022","Unknown","Overseas","940","930","51580","51500"
"In post","2022","Unknown","Unknown","2255","2240","37180","32700"
"Leaver CS","2022","Declared disabled","London","805","[c]","37770","31060"
"Leaver CS","2022","Declared disabled","Outside London","3605","[c]","28750","26820"
"Leaver CS","2022","Declared disabled","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","55","[c]","26190","21840"
"Leaver CS","2022","Declared non-disabled","London","5500","[c]","42050","35050"
"Leaver CS","2022","Declared non-disabled","Outside London","20240","[c]","30770","27570"
"Leaver CS","2022","Declared non-disabled","Overseas","70","[c]","53150","46860"
"Leaver CS","2022","Declared non-disabled","Unknown","420","[c]","28060","21840"
"Leaver CS","2022","Undeclared","London","410","[c]","42170","37510"
"Leaver CS","2022","Undeclared","Outside London","1775","[c]","29950","27370"
"Leaver CS","2022","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","45","[c]","30440","25740"
"Leaver CS","2022","Unknown","London","2925","[c]","41310","34030"
"Leaver CS","2022","Unknown","Outside London","7585","[c]","30930","26740"
"Leaver CS","2022","Unknown","Overseas","60","[c]","43060","41600"
"Leaver CS","2022","Unknown","Unknown","710","[c]","35270","31880"
"Leaver Dept.","2022","Declared disabled","London","725","[c]","42190","36800"
"Leaver Dept.","2022","Declared disabled","Outside London","1090","[c]","31710","27570"
"Leaver Dept.","2022","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","40","[c]","33730","32000"
"Leaver Dept.","2022","Declared non-disabled","London","6000","[c]","44050","40050"
"Leaver Dept.","2022","Declared non-disabled","Outside London","8110","[c]","33560","27570"
"Leaver Dept.","2022","Declared non-disabled","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","280","[c]","38150","33250"
"Leaver Dept.","2022","Undeclared","London","345","[c]","41510","37370"
"Leaver Dept.","2022","Undeclared","Outside London","505","[c]","32490","29290"
"Leaver Dept.","2022","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","3210","[c]","44600","37840"
"Leaver Dept.","2022","Unknown","Outside London","2880","[c]","39100","32310"
"Leaver Dept.","2022","Unknown","Overseas","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","405","[c]","36880","32000"
"New entrant CS","2022","Declared disabled","London","995","[c]","34880","31800"
"New entrant CS","2022","Declared disabled","Outside London","4195","[c]","27710","25480"
"New entrant CS","2022","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","35","[c]","29890","27500"
"New entrant CS","2022","Declared non-disabled","London","6730","[c]","36700","32330"
"New entrant CS","2022","Declared non-disabled","Outside London","29915","[c]","28020","25710"
"New entrant CS","2022","Declared non-disabled","Overseas","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","250","[c]","31810","29230"
"New entrant CS","2022","Undeclared","London","445","[c]","35940","32560"
"New entrant CS","2022","Undeclared","Outside London","1415","[c]","28120","26590"
"New entrant CS","2022","Undeclared","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","London","5590","[c]","36100","31060"
"New entrant CS","2022","Unknown","Outside London","19185","[c]","27990","24880"
"New entrant CS","2022","Unknown","Overseas","40","[c]","39780","37990"
"New entrant CS","2022","Unknown","Unknown","575","[c]","27780","26310"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
