"Status","Year","Ethnicity","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","London","35","35","43210","37140"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","London","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","London","35","35","44370","47870"
"In post","2022","Asian","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","London","25","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","London","30","30","40990","37380"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care","London","40","40","47520","53360"
"In post","2022","Asian","Analysis","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs","London","55","55","48480","43810"
"In post","2022","Asian","Analysis","HM Revenue and Customs","Outside London","35","35","39830","40180"
"In post","2022","Asian","Analysis","HM Treasury","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice","London","55","50","45860","42010"
