"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Wales","Monmouthshire and Newport","45","45","34690","31700"
"In post","2022","Asian","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
