"Status","Year","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Female","35","35","34070","30950"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Male","20","20","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Female","45","45","28880","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Male","35","35","27530","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Female","300","290","43690","40600"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Male","215","215","48050","43890"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Female","20","20","[c]","[c]"
"In post","2022","Asian","Companies House","Male","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","60","60","43930","36910"
"In post","2022","Asian","Competition and Markets Authority","Male","50","50","55330","56360"
"In post","2022","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Female","15","15","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Male","20","20","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Female","35","35","37530","35840"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Male","25","25","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Female","500","450","39630","33310"
"In post","2022","Asian","Crown Prosecution Service","Male","205","200","41720","40610"
"In post","2022","Asian","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Female","125","115","32730","29750"
"In post","2022","Asian","Defence Equipment and Support","Male","220","220","34630","32700"
"In post","2022","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Female","20","20","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Male","45","40","44250","47010"
"In post","2022","Asian","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","340","335","44100","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","280","280","43580","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","95","90","44290","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","70","70","43810","38020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Female","340","330","40950","36780"
"In post","2022","Asian","Department for Education (excl. agencies)","Male","230","230","39990","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","185","180","38640","35200"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","150","145","40320","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Female","130","130","42340","38160"
"In post","2022","Asian","Department for International Trade","Male","140","140","45530","40740"
"In post","2022","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","175","175","41190","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","120","120","41990","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Female","170","170","43780","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","Male","165","165","45670","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Female","4805","4135","27830","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Male","3340","3245","28390","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Female","180","170","43940","40650"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Male","95","95","41110","36820"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Female","40","35","28440","21840"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Male","50","50","26640","21840"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Female","45","45","28130","29130"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Male","100","100","29080","28830"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","Female","130","125","36710","33760"
"In post","2022","Asian","Education and Skills Funding Agency","Male","105","105","42190","40230"
"In post","2022","Asian","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","Female","25","25","[c]","[c]"
"In post","2022","Asian","FCDO Services","Male","35","35","34950","29600"
