"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA/AO","AO","185","165","22970","23770"
"In post","2022","Asian","Attorney General's Departments","EO","EO","200","190","27840","27350"
"In post","2022","Asian","Attorney General's Departments","G6/G7","G6","95","85","67160","65630"
"In post","2022","Asian","Attorney General's Departments","G6/G7","G7","420","390","54410","53050"
"In post","2022","Asian","Attorney General's Departments","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","HEO","105","105","35570","34500"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","SEO","35","35","40040","39750"
"In post","2022","Asian","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","AO","25","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","EO","90","90","27180","27500"
"In post","2022","Asian","Cabinet Office","G6/G7","G6","50","50","66790","65000"
"In post","2022","Asian","Cabinet Office","G6/G7","G7","160","160","55620","54700"
"In post","2022","Asian","Cabinet Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SEO/HEO","HEO","125","125","34200","34550"
"In post","2022","Asian","Cabinet Office","SEO/HEO","SEO","100","95","40720","40600"
"In post","2022","Asian","Chancellor's other departments","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
