"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA/AO","185","170","22940","23770"
"In post","2022","Asian","Attorney General's Departments","EO","200","190","27840","27350"
"In post","2022","Asian","Attorney General's Departments","G6/G7","515","475","56720","53140"
"In post","2022","Asian","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","140","135","36620","38000"
"In post","2022","Asian","Cabinet Office","AA/AO","25","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","90","90","27180","27500"
"In post","2022","Asian","Cabinet Office","G6/G7","210","210","58310","56340"
"In post","2022","Asian","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SEO/HEO","225","220","37050","35670"
"In post","2022","Asian","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6/G7","45","45","66050","66030"
"In post","2022","Asian","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO/HEO","40","40","37830","35840"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","105","95","21830","21130"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","EO","135","130","27380","27680"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","225","220","57390","54700"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","465","460","37540","37290"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","G6/G7","65","65","55570","52800"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","70","70","35680","34020"
"In post","2022","Asian","Department for Education","AA/AO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","EO","140","135","26410","25000"
"In post","2022","Asian","Department for Education","G6/G7","240","235","54980","53420"
"In post","2022","Asian","Department for Education","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","SEO/HEO","450","440","35390","36500"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","AA/AO","75","70","22430","21300"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","EO","100","95","27150","27960"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","G6/G7","85","85","54820","53200"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","205","205","35230","34740"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","EO","30","30","27120","26510"
"In post","2022","Asian","Department for International Trade","G6/G7","85","85","56990","55010"
"In post","2022","Asian","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","SEO/HEO","145","140","36660","38160"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","EO","45","45","28160","27850"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","G6/G7","90","90","56540","53130"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","160","160","35520","35780"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","AA/AO","120","110","23040","21840"
"In post","2022","Asian","Department for Transport","EO","150","145","28580","29610"
"In post","2022","Asian","Department for Transport","G6/G7","130","125","60370","55930"
"In post","2022","Asian","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","SEO/HEO","235","235","39170","37120"
"In post","2022","Asian","Department for Work and Pensions","AA/AO","2420","2055","21950","21260"
"In post","2022","Asian","Department for Work and Pensions","EO","4925","4550","28910","27570"
"In post","2022","Asian","Department for Work and Pensions","G6/G7","175","175","57780","55000"
"In post","2022","Asian","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","SEO/HEO","685","665","37360","36650"
"In post","2022","Asian","Department of Health and Social Care","AA/AO","140","115","22230","22350"
"In post","2022","Asian","Department of Health and Social Care","EO","245","225","26830","27140"
"In post","2022","Asian","Department of Health and Social Care","G6/G7","260","250","59210","54290"
"In post","2022","Asian","Department of Health and Social Care","SCS level","80","75","103710","100490"
"In post","2022","Asian","Department of Health and Social Care","SEO/HEO","560","545","36480","36330"
"In post","2022","Asian","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","EO","30","30","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SEO/HEO","30","30","36820","37910"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","AA/AO","45","45","27070","28250"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","EO","95","95","30220","30500"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","G6/G7","130","125","59180","57420"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","190","185","37820","37560"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AA/AO","80","75","23100","22600"
"In post","2022","Asian","HM Land Registry","EO","80","70","27770","27130"
"In post","2022","Asian","HM Land Registry","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SEO/HEO","55","50","37440","37290"
"In post","2022","Asian","HM Revenue and Customs","AA/AO","1650","1460","21970","21250"
"In post","2022","Asian","HM Revenue and Customs","EO","1465","1400","28020","26820"
"In post","2022","Asian","HM Revenue and Customs","G6/G7","555","550","60330","60940"
"In post","2022","Asian","HM Revenue and Customs","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","SEO/HEO","2155","2105","36750","36990"
"In post","2022","Asian","HM Treasury","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","HM Treasury","EO","35","35","26820","26850"
"In post","2022","Asian","HM Treasury","G6/G7","115","110","59710","57530"
"In post","2022","Asian","HM Treasury","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","SEO/HEO","150","145","37460","36580"
"In post","2022","Asian","Home Office","AA/AO","1090","950","23520","22460"
"In post","2022","Asian","Home Office","EO","1820","1690","27960","28670"
