"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","EO","55","55","27080","26880"
"In post","2022","Asian","Commercial","G6","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","G7","30","30","55410","54070"
"In post","2022","Asian","Commercial","HEO","90","85","32980","33050"
"In post","2022","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","90","85","41240","40650"
"In post","2022","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","EO","40","40","27990","27680"
"In post","2022","Asian","Communications","G6","10","10","[c]","[c]"
"In post","2022","Asian","Communications","G7","25","25","[c]","[c]"
"In post","2022","Asian","Communications","HEO","55","55","35020","34260"
"In post","2022","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO","55","55","42040","40940"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AO","230","200","23790","25110"
"In post","2022","Asian","Counter Fraud","EO","305","285","29050","27570"
"In post","2022","Asian","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G7","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HEO","55","50","35110","35120"
"In post","2022","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO","15","15","[c]","[c]"
