"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","880","815","30960","27570"
"In post","2022","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","1040","935","26130","24560"
"In post","2022","Asian","East Midlands (England)","Lincolnshire","Outside London","25","20","[c]","[c]"
"In post","2022","Asian","East of England","Bedfordshire and Hertfordshire","Outside London","585","545","32640","29290"
"In post","2022","Asian","East of England","East Anglia","Outside London","380","335","27760","24950"
"In post","2022","Asian","East of England","Essex","Outside London","215","200","34620","29290"
"In post","2022","Asian","London","Inner London - East","London","3110","2950","38360","33440"
"In post","2022","Asian","London","Inner London - West","London","6355","6165","42570","38750"
"In post","2022","Asian","London","Outer London - East and North East","London","830","750","29980","31060"
"In post","2022","Asian","London","Outer London - South","London","1890","1775","35630","31060"
"In post","2022","Asian","London","Outer London - West and North West","London","2615","2405","32010","30180"
"In post","2022","Asian","North East (England)","Northumberland, and Tyne and Wear","Outside London","455","430","30040","26820"
"In post","2022","Asian","North East (England)","Tees Valley and Durham","Outside London","130","115","28700","25590"
"In post","2022","Asian","North West (England)","Cheshire","Outside London","90","85","28780","27570"
"In post","2022","Asian","North West (England)","Cumbria","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","North West (England)","Greater Manchester","Outside London","1855","1755","30160","27570"
"In post","2022","Asian","North West (England)","Lancashire","Outside London","1030","925","26090","22080"
"In post","2022","Asian","North West (England)","Merseyside","Outside London","250","235","31800","26590"
"In post","2022","Asian","Northern Ireland","Northern Ireland","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","Overseas","170","165","45170","38600"
"In post","2022","Asian","Scotland","Eastern Scotland","Outside London","275","260","32580","27570"
"In post","2022","Asian","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scotland","North Eastern Scotland","Outside London","35","35","49530","42850"
"In post","2022","Asian","Scotland","Southern Scotland","Outside London","60","55","32440","27570"
"In post","2022","Asian","Scotland","West Central Scotland","Outside London","355","335","30560","27400"
"In post","2022","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","635","585","31040","28750"
"In post","2022","Asian","South East (England)","Hampshire and Isle of Wight","Outside London","350","320","30420","26820"
"In post","2022","Asian","South East (England)","Kent","Outside London","190","175","29690","29290"
"In post","2022","Asian","South East (England)","Surrey, East and West Sussex","Outside London","365","340","30870","28350"
"In post","2022","Asian","South West (England)","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","South West (England)","Devon","Outside London","65","60","33100","27570"
"In post","2022","Asian","South West (England)","Dorset and Somerset","Outside London","35","35","31160","27570"
"In post","2022","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","795","755","35250","32650"
"In post","2022","Asian","Unknown","Unknown","Unknown","170","150","29660","29290"
"In post","2022","Asian","Wales","East Wales","Outside London","440","425","31940","27570"
"In post","2022","Asian","Wales","West Wales and The Valleys","Outside London","145","140","29180","26130"
"In post","2022","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","210","190","27850","26670"
"In post","2022","Asian","West Midlands (England)","Shropshire and Staffordshire","Outside London","335","320","32950","27570"
"In post","2022","Asian","West Midlands (England)","West Midlands","Outside London","4315","4045","28590","27370"
"In post","2022","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","45","40","30810","27130"
"In post","2022","Asian","Yorkshire and The Humber","North Yorkshire","Outside London","75","75","32750","28920"
"In post","2022","Asian","Yorkshire and The Humber","South Yorkshire","Outside London","480","450","29680","25260"
"In post","2022","Asian","Yorkshire and The Humber","West Yorkshire","Outside London","2330","2155","28720","27570"
"In post","2022","Black","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","400","380","28600","26820"
"In post","2022","Black","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","185","170","27480","25410"
"In post","2022","Black","East Midlands (England)","Lincolnshire","Outside London","25","25","[c]","[c]"
"In post","2022","Black","East of England","Bedfordshire and Hertfordshire","Outside London","260","250","31010","29290"
"In post","2022","Black","East of England","East Anglia","Outside London","140","135","30950","27570"
"In post","2022","Black","East of England","Essex","Outside London","240","225","30980","29290"
"In post","2022","Black","London","Inner London - East","London","2785","2690","34320","31060"
"In post","2022","Black","London","Inner London - West","London","4355","4240","37850","34260"
"In post","2022","Black","London","Outer London - East and North East","London","745","710","31430","31060"
"In post","2022","Black","London","Outer London - South","London","1725","1650","33940","31060"
"In post","2022","Black","London","Outer London - West and North West","London","890","845","31940","31060"
"In post","2022","Black","North East (England)","Northumberland, and Tyne and Wear","Outside London","135","125","28500","26820"
"In post","2022","Black","North East (England)","Tees Valley and Durham","Outside London","35","35","30030","27570"
"In post","2022","Black","North West (England)","Cheshire","Outside London","35","35","31930","29010"
