"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","AA/AO","AA","30","25","19540","19200"
"In post","2022","Asian","East Midlands (England)","AA/AO","AO","735","640","21660","21260"
"In post","2022","Asian","East Midlands (England)","EO","EO","605","565","27110","27570"
"In post","2022","Asian","East Midlands (England)","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6/G7","G7","80","75","53950","54690"
"In post","2022","Asian","East Midlands (England)","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","HEO","265","250","32870","33370"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","SEO","120","120","40470","40180"
"In post","2022","Asian","East Midlands (England)","Unknown","Unknown","80","70","29300","28200"
"In post","2022","Asian","East of England","AA/AO","AA","35","30","20040","19810"
"In post","2022","Asian","East of England","AA/AO","AO","335","285","23340","21680"
"In post","2022","Asian","East of England","EO","EO","450","420","28130","27570"
"In post","2022","Asian","East of England","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","East of England","G6/G7","G7","55","55","57890","55210"
"In post","2022","Asian","East of England","SCS level","SCS level","15","10","[c]","[c]"
"In post","2022","Asian","East of England","SEO/HEO","HEO","130","125","34500","34260"
"In post","2022","Asian","East of England","SEO/HEO","SEO","90","90","43650","41100"
"In post","2022","Asian","East of England","Unknown","Unknown","50","45","26920","24800"
"In post","2022","Asian","London","AA/AO","AA","275","240","22670","22460"
"In post","2022","Asian","London","AA/AO","AO","2080","1845","25480","25110"
"In post","2022","Asian","London","EO","EO","4585","4275","29980","30500"
"In post","2022","Asian","London","G6/G7","G6","605","585","69520","67700"
"In post","2022","Asian","London","G6/G7","G7","1945","1900","56910","55860"
"In post","2022","Asian","London","SCS level","SCS level","230","225","90640","82870"
"In post","2022","Asian","London","SEO/HEO","HEO","2935","2860","35820","35200"
"In post","2022","Asian","London","SEO/HEO","SEO","1960","1920","42890","41970"
