"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AO","120","105","24510","24250"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","255","240","28550","28990"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6","15","15","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G7","30","30","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","HEO","70","65","35410","35780"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO","45","45","43660","41970"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","35","30","27620","24800"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","25","25","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","170","145","24500","22760"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","250","230","28790","29030"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","35","30","57280","55600"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","70","70","34970","34280"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","50","50","42140","42000"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","35","30","27460","24090"
"In post","2022","Asian","Cheshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","AO","30","25","[c]","[c]"
"In post","2022","Asian","Cheshire","EO","30","30","27770","27570"
"In post","2022","Asian","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","AO","245","215","22010","21260"
"In post","2022","Asian","Derbyshire and Nottinghamshire","EO","250","235","26990","26820"
"In post","2022","Asian","Derbyshire and Nottinghamshire","G6","15","15","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","G7","50","50","53280","54690"
"In post","2022","Asian","Derbyshire and Nottinghamshire","HEO","195","190","32840","33370"
"In post","2022","Asian","Derbyshire and Nottinghamshire","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","SEO","80","75","40000","40180"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Unknown","30","25","31990","30210"
"In post","2022","Asian","Devon","AA","5","5","[c]","[c]"
