"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","EO","10","10","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","AA/AO","30","30","21540","21260"
"In post","2022","Asian","Angus and Dundee City","EO","10","10","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","EO","135","125","30940","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Barnet","AA/AO","90","70","23970","23780"
"In post","2022","Asian","Barnet","EO","135","120","29660","31060"
"In post","2022","Asian","Barnet","G6/G7","60","60","60660","60630"
"In post","2022","Asian","Barnet","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Barnet","SEO/HEO","150","150","38280","38930"
"In post","2022","Asian","Barnet","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","EO","20","15","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","80","75","24390","25000"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","40","40","57450","56100"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","220","215","35680","34000"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","45","45","38670","36260"
