"Status","Year","Function_of_post","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Female","155","140","32090","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Male","170","165","37040","35900"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Female","65","60","30650","29270"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Male","75","75","36060","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","Male","80","80","63390","58000"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South East (England)","Female","100","95","39150","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South East (England)","Male","285","270","42740","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South West (England)","Female","50","50","38020","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","South West (England)","Male","70","65","39040","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","85","85","42050","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","150","145","43820","37820"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","47070","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Male","85","85","49470","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Male","5","5","[c]","[c]"
