"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","220","205","31590","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","250","245","36600","32770"
"In post","2022","Analysis","Companies House","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Companies House","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","55","50","60650","56360"
"In post","2022","Analysis","Competition and Markets Authority","Male","80","80","63000","57840"
"In post","2022","Analysis","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Female","155","145","38820","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Male","355","340","42090","42020"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","90","90","41780","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","160","160","43320","37820"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","60","55","46740","38320"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","90","90","48810","55730"
"In post","2022","Analysis","Department for Education (excl. agencies)","Female","115","110","43940","42500"
"In post","2022","Analysis","Department for Education (excl. agencies)","Male","85","85","45600","45540"
"In post","2022","Analysis","Department for International Trade","Female","100","95","42260","32920"
"In post","2022","Analysis","Department for International Trade","Male","155","155","45180","48600"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","90","85","46540","48200"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","140","135","47210","53130"
