"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","EO","10","10","28720","28230"
"In post","2022","Analysis","Chancellor's other departments","Other","G6/G7","130","115","84260","79450"
"In post","2022","Analysis","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","SEO/HEO","60","55","40980","40460"
"In post","2022","Analysis","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G6/G7","65","60","64690","61250"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","107440","97750"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SEO/HEO","20","20","34070","33120"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","62380","57320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","15","15","42350","43880"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","10","10","40490","42530"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","EO","25","25","27880","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","40","40","61540","58780"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SEO/HEO","115","115","35970","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO/HEO","30","25","37390","38110"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G6/G7","15","15","59620","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","G6/G7","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G6/G7","15","10","61270","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SEO/HEO","35","35","38720","37820"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6/G7","40","35","57580","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","SEO/HEO","35","35","37790","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6/G7","15","15","56920","56130"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","SEO/HEO","10","10","38160","38150"
"In post","2022","Analysis","Department for Education","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","EO","10","10","26950","25000"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","G6/G7","30","30","55060","53420"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","SEO/HEO","45","45","38090","36660"
"In post","2022","Analysis","Department for Education","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","G6/G7","40","35","54790","53420"
"In post","2022","Analysis","Department for Education","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","SEO/HEO","60","55","39150","41990"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","20","15","25260","25100"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO/HEO","25","25","31930","29690"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G6/G7","85","80","52240","49040"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO/HEO","245","235","33170","30660"
"In post","2022","Analysis","Department for International Trade","Economics","EO","15","15","26320","26250"
"In post","2022","Analysis","Department for International Trade","Economics","G6/G7","65","65","55430","51970"
"In post","2022","Analysis","Department for International Trade","Economics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Economics","SEO/HEO","60","60","32130","31800"
"In post","2022","Analysis","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","SEO/HEO","15","15","32990","31800"
"In post","2022","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","G6/G7","25","25","54670","51970"
"In post","2022","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","SEO/HEO","25","25","36500","38160"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","G6/G7","35","35","56980","53240"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","SEO/HEO","15","15","32840","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","G6/G7","20","20","56950","54120"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","SEO/HEO","10","10","34460","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","EO","25","25","28330","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G6/G7","55","55","57360","53870"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SEO/HEO","50","50","36250","34690"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","EO","10","10","28880","29970"
"In post","2022","Analysis","Department for Transport","Economics","G6/G7","80","75","58010","54760"
"In post","2022","Analysis","Department for Transport","Economics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","SEO/HEO","50","50","34610","34710"
"In post","2022","Analysis","Department for Transport","Operational Research","AA/AO","20","20","21660","21840"
"In post","2022","Analysis","Department for Transport","Operational Research","EO","15","10","26330","26130"
"In post","2022","Analysis","Department for Transport","Operational Research","G6/G7","10","10","55570","54110"
"In post","2022","Analysis","Department for Transport","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","SEO/HEO","35","30","35890","33350"
"In post","2022","Analysis","Department for Transport","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","G6/G7","25","20","57330","54760"
"In post","2022","Analysis","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","SEO/HEO","15","15","39750","42470"
"In post","2022","Analysis","Department for Transport","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","G6/G7","20","20","56790","54760"
"In post","2022","Analysis","Department for Transport","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","SEO/HEO","20","20","41190","42470"
"In post","2022","Analysis","Department for Transport","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","EO","15","15","30010","30270"
"In post","2022","Analysis","Department for Transport","Statistics","G6/G7","25","20","57540","54650"
"In post","2022","Analysis","Department for Transport","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","SEO/HEO","35","35","39280","39940"
"In post","2022","Analysis","Department for Transport","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","G6/G7","10","10","59240","57230"
"In post","2022","Analysis","Department for Work and Pensions","Economics","SEO/HEO","35","35","35090","35000"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","G6/G7","10","10","65920","60100"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","SEO/HEO","15","15","35750","36650"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","SEO/HEO","15","15","33750","35000"
"In post","2022","Analysis","Department for Work and Pensions","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","EO","25","25","28760","27660"
"In post","2022","Analysis","Department for Work and Pensions","Policy","G6/G7","90","85","59410","57230"
"In post","2022","Analysis","Department for Work and Pensions","Policy","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","SEO/HEO","105","100","37870","36650"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
