"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","EO","10","10","28720","28230"
"In post","2022","Analysis","Chancellor's other departments","Other","G6","100","85","92250","86590"
"In post","2022","Analysis","Chancellor's other departments","Other","G7","30","30","56970","57250"
"In post","2022","Analysis","Chancellor's other departments","Other","HEO","35","35","37630","36590"
"In post","2022","Analysis","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","SEO","20","20","46880","47000"
"In post","2022","Analysis","Competition and Markets Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G6","25","25","75650","74480"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G7","35","35","56690","55860"
"In post","2022","Analysis","Competition and Markets Authority","Economics","HEO","20","20","34070","33120"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","107440","97750"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G7","10","10","56830","56360"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO","10","10","44240","43880"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","EO","25","25","27880","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G7","30","30","57930","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","HEO","110","110","35320","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","HEO","15","15","33890","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO","10","10","42790","43050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G7","10","10","57920","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G7","10","10","57960","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","HEO","25","25","35220","36240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SEO","15","15","44490","44440"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","G7","30","30","55710","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","HEO","35","35","37790","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G7","10","10","56440","55930"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","HEO","10","10","38160","38150"
"In post","2022","Analysis","Department for Education","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","EO","10","10","26950","25000"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","G7","25","25","51810","50630"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","HEO","25","20","33380","32870"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","SEO","25","25","42610","42500"
"In post","2022","Analysis","Department for Education","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","G7","30","30","52630","52880"
"In post","2022","Analysis","Department for Education","Policy","HEO","25","25","33640","32870"
"In post","2022","Analysis","Department for Education","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","SEO","35","30","42930","42420"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","20","15","25260","25100"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","HEO","15","15","29520","29180"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G6","20","20","61520","59680"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G7","60","60","48890","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","HEO","135","130","29860","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO","110","105","37160","36580"
"In post","2022","Analysis","Department for International Trade","Economics","EO","15","15","26320","26250"
"In post","2022","Analysis","Department for International Trade","Economics","G6","10","10","65240","64300"
"In post","2022","Analysis","Department for International Trade","Economics","G7","55","55","53680","51970"
"In post","2022","Analysis","Department for International Trade","Economics","HEO","55","55","32030","31800"
"In post","2022","Analysis","Department for International Trade","Economics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","HEO","10","10","32380","31800"
"In post","2022","Analysis","Department for International Trade","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","G7","20","20","52500","51970"
"In post","2022","Analysis","Department for International Trade","Statistics","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","SEO","15","15","39630","39690"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","G7","25","25","54310","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","HEO","15","15","32160","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","G7","15","15","53870","53290"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","EO","25","25","28330","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G6","10","10","68020","68590"
