"Status","Year","Function_of_post","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","Female","60","50","70190","69690"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","Male","115","110","69280","58510"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Westminster","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Westminster","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","Male","80","80","63390","58000"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
