"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","EO","10","10","28770","28230"
"In post","2022","Analysis","Chancellor's other departments","London","G6/G7","120","110","84080","79730"
"In post","2022","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","SEO/HEO","60","60","40810","39360"
"In post","2022","Analysis","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","G6/G7","10","10","77690","69690"
"In post","2022","Analysis","Chancellor's other departments","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","G6/G7","80","80","64460","60540"
"In post","2022","Analysis","Competition and Markets Authority","London","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","London","SEO/HEO","30","30","37570","34710"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","EO","30","30","28550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","G6/G7","75","75","61370","57970"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","150","150","37280","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","EO","25","25","26250","24570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","15","15","57060","56400"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","75","70","37860","37700"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G6/G7","70","70","58050","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","SEO/HEO","55","55","38050","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","G6/G7","30","30","56950","54160"
"In post","2022","Analysis","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","SEO/HEO","35","35","41980","45250"
"In post","2022","Analysis","Department for Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","EO","15","15","26620","25000"
"In post","2022","Analysis","Department for Education","Outside London","G6/G7","45","45","53380","50520"
"In post","2022","Analysis","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","SEO/HEO","70","70","37060","36500"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","EO","125","120","25280","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","85","85","52180","49040"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","270","260","33060","30440"
"In post","2022","Analysis","Department for International Trade","London","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","London","G6/G7","110","110","55950","51970"
"In post","2022","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","London","SEO/HEO","100","100","33550","31800"
"In post","2022","Analysis","Department for International Trade","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","EO","20","20","28970","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","G6/G7","105","100","57600","53870"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","SEO/HEO","70","70","35690","34000"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","15","15","32650","30190"
"In post","2022","Analysis","Department for Transport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","London","EO","25","25","29910","29970"
"In post","2022","Analysis","Department for Transport","London","G6/G7","150","145","57800","54760"
"In post","2022","Analysis","Department for Transport","London","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport","London","SEO/HEO","125","125","37820","35060"
"In post","2022","Analysis","Department for Transport","Outside London","AA/AO","20","20","21660","21840"
"In post","2022","Analysis","Department for Transport","Outside London","EO","15","15","26340","26130"
"In post","2022","Analysis","Department for Transport","Outside London","G6/G7","10","10","53760","49530"
"In post","2022","Analysis","Department for Transport","Outside London","SEO/HEO","35","30","35800","33350"
"In post","2022","Analysis","Department for Work and Pensions","London","AA/AO","15","15","25110","25110"
"In post","2022","Analysis","Department for Work and Pensions","London","EO","10","10","31570","31060"
"In post","2022","Analysis","Department for Work and Pensions","London","G6/G7","80","75","62780","57900"
"In post","2022","Analysis","Department for Work and Pensions","London","SCS level","5","5","[c]","[c]"
