"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Heterosexual / straight","45","40","50280","48000"
"In post","2022","Analysis","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
