"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","EO","20","20","28840","29000"
"In post","2022","Analysis","Digital, Data and Technology","G6/G7","G6","15","15","66660","64970"
"In post","2022","Analysis","Digital, Data and Technology","G6/G7","G7","45","40","53110","53360"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO/HEO","HEO","35","35","33880","33410"
"In post","2022","Analysis","Digital, Data and Technology","SEO/HEO","SEO","50","45","42770","42210"
"In post","2022","Analysis","Economics","AA/AO","AO","50","50","20980","19860"
"In post","2022","Analysis","Economics","EO","EO","110","110","27090","27680"
"In post","2022","Analysis","Economics","G6/G7","G6","140","130","71700","70140"
"In post","2022","Analysis","Economics","G6/G7","G7","430","415","55840","54760"
"In post","2022","Analysis","Economics","SCS level","SCS level","60","60","95230","85770"
"In post","2022","Analysis","Economics","SEO/HEO","HEO","500","495","34220","33710"
"In post","2022","Analysis","Economics","SEO/HEO","SEO","80","80","41790","40650"
"In post","2022","Analysis","Finance","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G6/G7","G7","20","20","57050","53200"
"In post","2022","Analysis","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO/HEO","HEO","15","15","34990","34240"
"In post","2022","Analysis","Finance","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Analysis","Geography","EO","EO","15","15","27570","26670"
"In post","2022","Analysis","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","SEO/HEO","HEO","25","25","33120","33000"
"In post","2022","Analysis","Geography","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6/G7","G7","10","10","54170","53980"
"In post","2022","Analysis","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO/HEO","SEO","10","10","41080","40050"
"In post","2022","Analysis","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6/G7","G7","15","15","56020","56360"
"In post","2022","Analysis","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO/HEO","HEO","45","45","31080","30770"
"In post","2022","Analysis","Intelligence Analysis","SEO/HEO","SEO","35","30","41990","42290"
"In post","2022","Analysis","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6/G7","G7","10","10","56550","57080"
"In post","2022","Analysis","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO/HEO","SEO","10","10","41400","41700"
"In post","2022","Analysis","Medicine","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G6/G7","G7","10","10","54490","53360"
"In post","2022","Analysis","Medicine","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA/AO","AO","35","30","20960","20350"
"In post","2022","Analysis","Operational Delivery","EO","EO","235","220","25720","24870"
"In post","2022","Analysis","Operational Delivery","G6/G7","G6","25","25","69910","66300"
"In post","2022","Analysis","Operational Delivery","G6/G7","G7","105","105","53100","51700"
"In post","2022","Analysis","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO/HEO","HEO","240","230","31590","30710"
"In post","2022","Analysis","Operational Delivery","SEO/HEO","SEO","205","200","38590","37580"
"In post","2022","Analysis","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AA/AO","AO","30","30","22980","21840"
"In post","2022","Analysis","Operational Research","EO","EO","30","30","26920","26350"
"In post","2022","Analysis","Operational Research","G6/G7","G6","35","35","70920","70170"
"In post","2022","Analysis","Operational Research","G6/G7","G7","260","245","54080","54270"
"In post","2022","Analysis","Operational Research","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO/HEO","HEO","180","175","33130","33350"
"In post","2022","Analysis","Operational Research","SEO/HEO","SEO","170","160","41610","40520"
"In post","2022","Analysis","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Other","EO","EO","55","55","28420","28230"
"In post","2022","Analysis","Other","G6/G7","G6","115","100","89080","82180"
"In post","2022","Analysis","Other","G6/G7","G7","70","70","55510","55630"
"In post","2022","Analysis","Other","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Other","SEO/HEO","HEO","75","75","35760","35000"
"In post","2022","Analysis","Other","SEO/HEO","SEO","50","50","43190","42290"
"In post","2022","Analysis","Policy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","EO","45","45","28260","27660"
"In post","2022","Analysis","Policy","G6/G7","G6","90","85","67460","66230"
"In post","2022","Analysis","Policy","G6/G7","G7","205","195","54500","53360"
"In post","2022","Analysis","Policy","SCS level","SCS level","15","15","84210","77880"
"In post","2022","Analysis","Policy","SEO/HEO","HEO","105","100","34950","34980"
"In post","2022","Analysis","Policy","SEO/HEO","SEO","110","100","41290","40840"
"In post","2022","Analysis","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
