"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","Female","15","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","Male","20","20","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","Female","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","Female","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Suffolk CC","Female","155","145","32210","29750"
"In post","2022","Analysis","East of England","Suffolk CC","Male","175","170","36680","35900"
"In post","2022","Analysis","London","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Camden and City of London","Female","75","65","69070","65470"
"In post","2022","Analysis","London","Camden and City of London","Male","150","145","68020","59180"
"In post","2022","Analysis","London","Croydon","Female","30","30","51180","46470"
"In post","2022","Analysis","London","Croydon","Male","30","30","51550","45300"
"In post","2022","Analysis","London","Hackney and Newham","Female","65","65","49900","43810"
"In post","2022","Analysis","London","Hackney and Newham","Male","100","95","45150","38510"
"In post","2022","Analysis","London","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Tower Hamlets","Female","330","310","50280","47590"
"In post","2022","Analysis","London","Tower Hamlets","Male","395","390","51800","48170"
"In post","2022","Analysis","London","Westminster","Female","1175","1125","47230","43420"
"In post","2022","Analysis","London","Westminster","Male","1385","1370","48250","45510"
"In post","2022","Analysis","London","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Darlington","Female","20","15","[c]","[c]"
"In post","2022","Analysis","North East (England)","Darlington","Male","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Sunderland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Sunderland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Tyneside","Female","75","70","42110","36650"
"In post","2022","Analysis","North East (England)","Tyneside","Male","75","75","38700","35590"
