"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","15","15","27540","27850"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","10","10","60480","57540"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","45","40","38030","36300"
"In post","2022","Analysis","Bedford","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","G6/G7","10","10","64380","55210"
"In post","2022","Analysis","Birmingham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","SEO/HEO","30","30","41210","39740"
"In post","2022","Analysis","Blackpool","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","EO","25","25","26100","25880"
"In post","2022","Analysis","Bristol, City of","Outside London","G6/G7","30","25","58670","59220"
"In post","2022","Analysis","Bristol, City of","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","SEO/HEO","80","75","36280","36500"
"In post","2022","Analysis","Buckinghamshire","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
