"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","Female","Heterosexual / straight","85","80","22030","21510"
"In post","2022","Analysis","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","AA/AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","AA/AO","Female","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","AA/AO","Male","Heterosexual / straight","85","80","21690","21260"
"In post","2022","Analysis","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","AA/AO","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Female","Heterosexual / straight","265","250","27040","26670"
"In post","2022","Analysis","EO","Female","LGBO","30","30","26250","25880"
"In post","2022","Analysis","EO","Female","Undeclared","35","30","26760","27270"
"In post","2022","Analysis","EO","Female","Unknown","115","105","26210","25460"
"In post","2022","Analysis","EO","Male","Heterosexual / straight","270","265","27100","26820"
"In post","2022","Analysis","EO","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","EO","Male","Unknown","100","95","26700","26250"
"In post","2022","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Female","Heterosexual / straight","885","815","59160","57150"
"In post","2022","Analysis","G6/G7","Female","LGBO","75","75","57780","55730"
"In post","2022","Analysis","G6/G7","Female","Undeclared","105","95","60160","58630"
"In post","2022","Analysis","G6/G7","Female","Unknown","165","155","54160","52110"
"In post","2022","Analysis","G6/G7","Male","Heterosexual / straight","1005","985","60380","57250"
"In post","2022","Analysis","G6/G7","Male","LGBO","80","80","58130","56000"
"In post","2022","Analysis","G6/G7","Male","Undeclared","140","140","61620","57750"
"In post","2022","Analysis","G6/G7","Male","Unknown","355","345","55890","54110"
"In post","2022","Analysis","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS level","Female","Heterosexual / straight","65","60","84590","79520"
"In post","2022","Analysis","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","SCS level","Male","Heterosexual / straight","80","80","91750","81230"
"In post","2022","Analysis","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Female","Heterosexual / straight","1375","1305","36510","36780"
"In post","2022","Analysis","SEO/HEO","Female","LGBO","165","165","35480","34710"
"In post","2022","Analysis","SEO/HEO","Female","Undeclared","155","150","36380","36660"
"In post","2022","Analysis","SEO/HEO","Female","Unknown","375","355","35190","35900"
"In post","2022","Analysis","SEO/HEO","Male","Heterosexual / straight","1355","1335","36540","36650"
"In post","2022","Analysis","SEO/HEO","Male","LGBO","150","150","35880","34710"
"In post","2022","Analysis","SEO/HEO","Male","Undeclared","170","165","37300","36700"
"In post","2022","Analysis","SEO/HEO","Male","Unknown","565","555","35750","36580"
"In post","2022","Analysis","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","Heterosexual / straight","75","70","22460","21830"
"In post","2022","Commercial","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","Unknown","40","35","23360","22080"
"In post","2022","Commercial","AA/AO","Male","Heterosexual / straight","75","70","22480","21740"
