"Status","Year","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA","5","5","[c]","[c]"
"In post","2022","Analysis","AO","255","245","21880","21410"
"In post","2022","Analysis","EO","870","835","26830","26440"
"In post","2022","Analysis","G6","690","650","71850","67650"
"In post","2022","Analysis","G7","2130","2035","54820","54110"
"In post","2022","Analysis","HEO","2480","2425","33180","32960"
"In post","2022","Analysis","SCS level","190","180","89270","81110"
"In post","2022","Analysis","SEO","1840","1765","40420","39850"
"In post","2022","Commercial","AA","35","30","22490","21640"
"In post","2022","Commercial","AO","255","240","22590","21840"
"In post","2022","Commercial","EO","760","730","26660","26460"
"In post","2022","Commercial","G6","680","675","72390","68640"
"In post","2022","Commercial","G7","1565","1535","56810","54700"
"In post","2022","Commercial","HEO","1170","1135","32790","33000"
"In post","2022","Commercial","SCS level","335","325","110740","104630"
"In post","2022","Commercial","SEO","1650","1605","40520","40580"
"In post","2022","Commercial","Unknown","165","165","40030","37400"
"In post","2022","Communications","AA","30","25","20760","21250"
"In post","2022","Communications","AO","465","425","21880","21250"
"In post","2022","Communications","EO","3240","3135","26940","26820"
"In post","2022","Communications","G6","365","355","67440","66230"
"In post","2022","Communications","G7","840","810","54810","54700"
"In post","2022","Communications","HEO","2150","2095","33690","33370"
"In post","2022","Communications","SCS level","135","135","92210","85000"
"In post","2022","Communications","SEO","1310","1275","41270","40560"
"In post","2022","Communications","Unknown","15","15","36710","31420"
"In post","2022","Counter Fraud","AA","20","20","21440","21760"
"In post","2022","Counter Fraud","AO","2740","2375","22340","21260"
"In post","2022","Counter Fraud","EO","7195","6605","28150","27570"
"In post","2022","Counter Fraud","G6","315","305","69370","67910"
"In post","2022","Counter Fraud","G7","1000","960","56430","55210"
"In post","2022","Counter Fraud","HEO","4040","3845","34360","33370"
"In post","2022","Counter Fraud","SCS level","50","45","84100","79930"
"In post","2022","Counter Fraud","SEO","1665","1600","41110","40520"
"In post","2022","Debt","AA","40","30","20430","20480"
"In post","2022","Debt","AO","5145","4525","21650","21260"
"In post","2022","Debt","EO","1215","1100","27810","27570"
"In post","2022","Debt","G6","15","15","76040","67910"
"In post","2022","Debt","G7","40","40","56150","55210"
"In post","2022","Debt","HEO","270","245","33490","33370"
"In post","2022","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO","95","90","40300","40520"
"In post","2022","Digital, Data & Technology","AA","95","90","19600","19380"
"In post","2022","Digital, Data & Technology","AO","855","825","22130","21380"
"In post","2022","Digital, Data & Technology","EO","3795","3630","27620","27130"
"In post","2022","Digital, Data & Technology","G6","1380","1355","67750","66610"
"In post","2022","Digital, Data & Technology","G7","4620","4520","54760","54540"
"In post","2022","Digital, Data & Technology","HEO","5355","5195","33650","33300"
"In post","2022","Digital, Data & Technology","SCS level","330","330","92360","85820"
"In post","2022","Digital, Data & Technology","SEO","5555","5410","41060","40520"
"In post","2022","Digital, Data & Technology","Unknown","75","70","34230","32300"
"In post","2022","Finance","AA","90","65","20710","21250"
"In post","2022","Finance","AO","1635","1395","21830","21260"
"In post","2022","Finance","EO","2100","1990","26870","26820"
"In post","2022","Finance","G6","795","775","67420","67090"
"In post","2022","Finance","G7","1975","1925","54700","54160"
"In post","2022","Finance","HEO","2655","2550","33450","33120"
"In post","2022","Finance","SCS level","305","300","87380","80160"
"In post","2022","Finance","SEO","2775","2680","40840","40520"
"In post","2022","Finance","Unknown","55","55","50720","44130"
"In post","2022","Grants Management","AO","1285","1170","21280","21300"
"In post","2022","Grants Management","EO","605","555","25440","25190"
"In post","2022","Grants Management","G6","15","15","59670","59930"
"In post","2022","Grants Management","G7","50","50","49150","48370"
"In post","2022","Grants Management","HEO","245","230","30380","30230"
"In post","2022","Grants Management","SCS level","10","5","[c]","[c]"
"In post","2022","Grants Management","SEO","115","105","37430","36970"
"In post","2022","Human Resources","AA","70","60","20160","19810"
"In post","2022","Human Resources","AO","1565","1420","21780","21260"
"In post","2022","Human Resources","EO","2585","2425","27290","27270"
"In post","2022","Human Resources","G6","635","620","66890","66440"
"In post","2022","Human Resources","G7","1710","1650","54270","54500"
"In post","2022","Human Resources","HEO","2905","2770","33280","33120"
"In post","2022","Human Resources","SCS level","265","255","86780","79320"
"In post","2022","Human Resources","SEO","1950","1870","40710","40520"
"In post","2022","Human Resources","Unknown","40","35","44130","45900"
"In post","2022","Internal Audit","AO","30","25","28260","25580"
"In post","2022","Internal Audit","EO","45","45","27830","26740"
"In post","2022","Internal Audit","G6","75","70","67210","65360"
"In post","2022","Internal Audit","G7","135","130","54000","54130"
"In post","2022","Internal Audit","HEO","150","145","34200","33420"
"In post","2022","Internal Audit","SCS level","30","30","91120","88000"
"In post","2022","Internal Audit","SEO","305","285","43830","43160"
"In post","2022","Legal","AA","15","15","20640","21250"
"In post","2022","Legal","AO","1605","1475","22800","22200"
"In post","2022","Legal","EO","2130","1990","28010","27580"
"In post","2022","Legal","G6","1490","1385","69950","68160"
"In post","2022","Legal","G7","4505","4155","55920","54810"
"In post","2022","Legal","HEO","1295","1240","35200","33840"
"In post","2022","Legal","SCS level","460","445","87880","82520"
"In post","2022","Legal","SEO","900","860","45630","41750"
"In post","2022","No function","AA","10880","9555","20800","20890"
"In post","2022","No function","AO","82905","74360","23330","21300"
"In post","2022","No function","EO","76805","70795","28380","27570"
"In post","2022","No function","G6","6730","6465","67960","66230"
"In post","2022","No function","G7","17935","17410","54930","54110"
"In post","2022","No function","HEO","36205","34755","33830","33370"
"In post","2022","No function","SCS level","3330","3200","89830","81050"
"In post","2022","No function","SEO","20540","19735","42330","40520"
"In post","2022","No function","Unknown","19195","17775","30100","28200"
"In post","2022","Project Delivery","AA","10","10","19970","19850"
"In post","2022","Project Delivery","AO","625","540","22060","21260"
"In post","2022","Project Delivery","EO","3440","3250","24860","25750"
"In post","2022","Project Delivery","G6","2100","2040","68160","67860"
"In post","2022","Project Delivery","G7","5140","5000","53950","54540"
"In post","2022","Project Delivery","HEO","6265","5990","32460","33040"
"In post","2022","Project Delivery","SCS level","595","580","92460","83920"
"In post","2022","Project Delivery","SEO","6780","6535","40660","40520"
"In post","2022","Project Delivery","Unknown","1610","1575","41060","39850"
"In post","2022","Property","AA","595","575","18590","17480"
"In post","2022","Property","AO","1235","1145","22890","22010"
"In post","2022","Property","EO","1915","1810","26770","26670"
"In post","2022","Property","G6","520","510","66510","65370"
"In post","2022","Property","G7","1215","1185","54970","54540"
"In post","2022","Property","HEO","2115","2045","33440","33300"
"In post","2022","Property","SCS level","115","115","92470","87080"
"In post","2022","Property","SEO","1785","1710","42510","42090"
"In post","2022","Property","Unknown","45","45","22430","21600"
"In post","2022","Security","AA","2475","2410","20730","19810"
"In post","2022","Security","AO","3175","3100","31770","30890"
"In post","2022","Security","EO","1510","1465","31750","28590"
"In post","2022","Security","G6","140","140","68770","67380"
"In post","2022","Security","G7","465","455","56440","55210"
"In post","2022","Security","HEO","1725","1680","35820","33860"
"In post","2022","Security","SCS level","65","65","88630","78860"
"In post","2022","Security","SEO","945","930","44410","42890"
"In post","2022","Security","Unknown","185","185","32770","31370"
"In post","2022","Unknown","AA","4325","4040","20580","19810"
"In post","2022","Unknown","AO","14705","13595","22670","21680"
"In post","2022","Unknown","EO","23070","21640","27490","27230"
"In post","2022","Unknown","G6","3145","3005","72090","70480"
"In post","2022","Unknown","G7","7035","6805","57690","57460"
"In post","2022","Unknown","HEO","14030","13525","34490","34170"
"In post","2022","Unknown","SCS level","1015","980","89540","83230"
"In post","2022","Unknown","SEO","10270","9950","43050","41980"
"In post","2022","Unknown","Unknown","2065","2055","37420","34160"
"Leaver CS","2022","Analysis","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AO","125","[c]","21520","21250"
"Leaver CS","2022","Analysis","EO","60","[c]","26790","25750"
"Leaver CS","2022","Analysis","G6","35","[c]","77350","73110"
"Leaver CS","2022","Analysis","G7","80","[c]","55510","54210"
"Leaver CS","2022","Analysis","HEO","150","[c]","33240","32930"
