"Status","Year","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO/HEO","35","35","37500","36130"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","45","45","33510","30990"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","30","25","35200","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","35","30","28410","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","25","25","60870","59470"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","115","110","41330","39120"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","EO","60","55","24610","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","SEO/HEO","75","65","33470","30970"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","SEO/HEO","75","70","34450","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","AA/AO","[c]","[c]","[c]","[c]"
