"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Female","65","55","31100","30040"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Male","40","40","35150","30040"
"In post","2022","Accountant in Bankruptcy","Glasgow City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Glasgow City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Female","50","45","30950","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bournemouth, Christchurch and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Female","50","45","29460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Central Hampshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Central Hampshire","Outside London","Male","[c]","[c]","[c]","[c]"
