"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","AO","40","40","23460","23770"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","EO","35","30","28590","27760"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G7","80","70","59320","61660"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","HEO","15","15","37520","38120"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","30","25","23800","23770"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","50","45","58600","58850"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","20","20","35910","35020"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","EO","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","G6/G7","G7","10","10","57760","56500"
"In post","2022","Attorney General's Departments","Cheshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","EO","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","G7","15","10","53230","54480"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","AA/AO","AO","15","10","22320","22200"
"In post","2022","Attorney General's Departments","Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","G6/G7","G7","15","15","54100","54910"
"In post","2022","Attorney General's Departments","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","AO","70","65","21910","22200"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","EO","70","65","26510","25820"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G7","120","110","52760","51470"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","HEO","35","35","33770","33310"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","AA/AO","AO","15","15","22190","22200"
"In post","2022","Attorney General's Departments","Devon","EO","EO","25","25","26710","26090"
"In post","2022","Attorney General's Departments","Devon","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","G6/G7","G7","45","40","53710","55610"
"In post","2022","Attorney General's Departments","Devon","SEO/HEO","HEO","15","15","32810","32910"
"In post","2022","Attorney General's Departments","Devon","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","AA/AO","AO","35","30","22140","22200"
"In post","2022","Attorney General's Departments","East Anglia","EO","EO","30","25","26960","26090"
"In post","2022","Attorney General's Departments","East Anglia","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","G6/G7","G7","40","35","55300","55610"
"In post","2022","Attorney General's Departments","East Anglia","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","SEO/HEO","HEO","15","15","34800","34480"
"In post","2022","Attorney General's Departments","East Anglia","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","AA/AO","AO","60","55","21920","22200"
"In post","2022","Attorney General's Departments","East Wales","EO","EO","60","55","27050","26220"
"In post","2022","Attorney General's Departments","East Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","G6/G7","G7","135","125","53660","54960"
"In post","2022","Attorney General's Departments","East Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","SEO/HEO","HEO","30","30","34500","33900"
"In post","2022","Attorney General's Departments","East Wales","SEO/HEO","SEO","15","15","39250","38180"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","AO","20","20","22180","22200"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","EO","15","15","27700","28430"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G7","35","35","54350","55610"
