"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","420","395","23510","23770"
"In post","2022","Attorney General's Departments","London","EO","780","745","28480","27700"
"In post","2022","Attorney General's Departments","London","G6","965","890","68370","66290"
"In post","2022","Attorney General's Departments","London","G7","1685","1570","55440","53050"
"In post","2022","Attorney General's Departments","London","HEO","460","445","35470","33310"
"In post","2022","Attorney General's Departments","London","SCS level","260","245","86700","80940"
"In post","2022","Attorney General's Departments","London","SEO","225","225","40680","40000"
"In post","2022","Attorney General's Departments","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AO","1095","1000","22450","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","1095","1015","27360","27440"
"In post","2022","Attorney General's Departments","Outside London","G6","195","190","70990","68950"
"In post","2022","Attorney General's Departments","Outside London","G7","2185","2005","54630","54770"
"In post","2022","Attorney General's Departments","Outside London","HEO","595","570","34300","33310"
"In post","2022","Attorney General's Departments","Outside London","SCS level","55","55","89590","83640"
"In post","2022","Attorney General's Departments","Outside London","SEO","175","175","39420","38180"
"In post","2022","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","AO","115","110","24240","24490"
"In post","2022","Cabinet Office","London","EO","545","535","27710","27500"
"In post","2022","Cabinet Office","London","G6","785","775","68850","66140"
"In post","2022","Cabinet Office","London","G7","1920","1885","56730","54700"
"In post","2022","Cabinet Office","London","HEO","1925","1920","31920","32000"
"In post","2022","Cabinet Office","London","SCS level","605","590","99560","93000"
"In post","2022","Cabinet Office","London","SEO","710","700","41050","40600"
"In post","2022","Cabinet Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Outside London","AO","380","350","21100","21050"
"In post","2022","Cabinet Office","Outside London","EO","480","455","25310","25520"
"In post","2022","Cabinet Office","Outside London","G6","340","335","70390","65310"
"In post","2022","Cabinet Office","Outside London","G7","885","865","55320","51950"
"In post","2022","Cabinet Office","Outside London","HEO","1140","1110","31590","32000"
"In post","2022","Cabinet Office","Outside London","SCS level","155","155","102650","95180"
"In post","2022","Cabinet Office","Outside London","SEO","600","580","38670","38820"
"In post","2022","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","30","30","26000","26570"
"In post","2022","Cabinet Office","Unknown","G6","10","10","69440","64500"
"In post","2022","Cabinet Office","Unknown","G7","75","70","54150","54700"
"In post","2022","Cabinet Office","Unknown","HEO","300","300","30510","29250"
"In post","2022","Cabinet Office","Unknown","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office","Unknown","SEO","45","45","39370","40250"
"In post","2022","Chancellor's other departments","London","AO","20","20","23560","24020"
"In post","2022","Chancellor's other departments","London","EO","30","30","30030","29500"
"In post","2022","Chancellor's other departments","London","G6","110","95","90450","82470"
"In post","2022","Chancellor's other departments","London","G7","70","70","55610","56480"
"In post","2022","Chancellor's other departments","London","HEO","65","65","36750","36550"
"In post","2022","Chancellor's other departments","London","SCS level","15","15","117330","110000"
"In post","2022","Chancellor's other departments","London","SEO","50","50","46840","45860"
"In post","2022","Chancellor's other departments","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","G6","10","10","81560","73540"
"In post","2022","Chancellor's other departments","Outside London","G7","15","15","54040","54910"
"In post","2022","Chancellor's other departments","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","SEO","20","20","42320","41800"
"In post","2022","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G6","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","G7","25","20","52080","51070"
"In post","2022","Charity Commission","London","HEO","20","20","29040","29160"
"In post","2022","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO","20","20","38180","37910"
"In post","2022","Charity Commission","Outside London","AO","30","20","18910","19980"
"In post","2022","Charity Commission","Outside London","EO","110","105","24940","24440"
"In post","2022","Charity Commission","Outside London","G6","10","10","63650","62480"
"In post","2022","Charity Commission","Outside London","G7","25","25","50580","51070"
"In post","2022","Charity Commission","Outside London","HEO","130","125","29250","29160"
"In post","2022","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SEO","75","75","37400","37910"
"In post","2022","Competition and Markets Authority","London","AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","London","EO","65","60","28220","27920"
"In post","2022","Competition and Markets Authority","London","G6","185","175","76150","75140"
"In post","2022","Competition and Markets Authority","London","G7","215","210","57390","56360"
"In post","2022","Competition and Markets Authority","London","HEO","135","130","34830","34570"
"In post","2022","Competition and Markets Authority","London","SCS level","120","115","108020","99920"
"In post","2022","Competition and Markets Authority","London","SEO","55","55","44020","43880"
"In post","2022","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6","20","20","73530","72430"
"In post","2022","Competition and Markets Authority","Outside London","G7","25","25","56080","55860"
"In post","2022","Competition and Markets Authority","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","AA","10","10","22040","22040"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","AO","130","125","25210","25060"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","EO","405","400","28620","27690"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","G6","695","665","67730","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","G7","1860","1815","55410","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","HEO","1240","1220","34900","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SCS level","325","310","88030","82340"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SEO","1300","1280","41820","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","AA","100","95","18550","19150"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","AO","1255","1145","21450","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","EO","1555","1470","25930","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","G6","345","330","63790","62660"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","G7","1115","1070","52760","50510"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","HEO","1870","1785","33160","32100"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","75","75","88260","78470"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SEO","1770","1680","41760","40280"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","SEO","15","15","38860","39650"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","160","155","27020","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6","220","215","64120","63120"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G7","615","605","53750","52130"
"In post","2022","Department for Digital, Culture, Media and Sport","London","HEO","665","655","35680","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","115","110","83760","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","25","25","25360","24950"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6","15","15","60280","60580"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G7","65","65","51780","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","HEO","115","110","33920","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Department for Education","London","AO","30","30","24160","24250"
"In post","2022","Department for Education","London","EO","220","215","29190","28500"
"In post","2022","Department for Education","London","G6","410","390","66280","65310"
"In post","2022","Department for Education","London","G7","755","725","54840","53760"
"In post","2022","Department for Education","London","HEO","380","370","34260","33300"
"In post","2022","Department for Education","London","SCS level","185","175","83650","74490"
"In post","2022","Department for Education","London","SEO","550","530","41940","40780"
"In post","2022","Department for Education","Outside London","AO","95","90","21230","21250"
"In post","2022","Department for Education","Outside London","EO","710","690","25410","25000"
"In post","2022","Department for Education","Outside London","G6","595","575","63170","61680"
"In post","2022","Department for Education","Outside London","G7","1495","1445","50690","50130"
"In post","2022","Department for Education","Outside London","HEO","1380","1335","30300","29730"
"In post","2022","Department for Education","Outside London","SCS level","115","110","81390","74100"
"In post","2022","Department for Education","Outside London","SEO","1775","1710","37780","36780"
"In post","2022","Department for Education","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","London","AO","85","80","24410","24370"
"In post","2022","Department for Environment, Food and Rural Affairs","London","EO","345","335","28560","28210"
"In post","2022","Department for Environment, Food and Rural Affairs","London","G6","250","240","64940","64280"
"In post","2022","Department for Environment, Food and Rural Affairs","London","G7","690","665","54350","53660"
"In post","2022","Department for Environment, Food and Rural Affairs","London","HEO","760","750","33520","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SCS level","135","130","83960","77160"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SEO","610","590","40610","39420"
"In post","2022","Department for Environment, Food and Rural Affairs","London","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","AA","10","10","20280","21580"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","AO","2295","2105","21620","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","EO","1945","1830","25710","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","G6","410","400","61410","59920"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","G7","1340","1295","50100","48990"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","HEO","1830","1750","30470","29750"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SCS level","85","85","81880","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SEO","1935","1840","38000","36970"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","AO","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","London","AO","25","25","25260","25140"
"In post","2022","Department for International Trade","London","EO","250","250","27770","26510"
"In post","2022","Department for International Trade","London","G6","255","255","64970","63180"
"In post","2022","Department for International Trade","London","G7","720","710","53780","51970"
"In post","2022","Department for International Trade","London","HEO","560","555","32960","31800"
"In post","2022","Department for International Trade","London","SCS level","140","140","87490","77270"
"In post","2022","Department for International Trade","London","SEO","550","545","40160","38540"
"In post","2022","Department for International Trade","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","EO","20","20","24580","23720"
"In post","2022","Department for International Trade","Outside London","G6","20","20","61840","59280"
"In post","2022","Department for International Trade","Outside London","G7","65","65","49830","48220"
"In post","2022","Department for International Trade","Outside London","HEO","40","40","29790","28540"
"In post","2022","Department for International Trade","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","SEO","40","40","36790","35370"
"In post","2022","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","G6","30","30","64550","63900"
"In post","2022","Department for International Trade","Overseas","G7","70","70","53850","53160"
"In post","2022","Department for International Trade","Overseas","HEO","20","20","33640","33780"
"In post","2022","Department for International Trade","Overseas","SCS level","25","25","83630","75290"
"In post","2022","Department for International Trade","Overseas","SEO","30","30","40050","39170"
"In post","2022","Department for Levelling Up, Housing and Communities","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","London","AO","30","30","26850","26870"
"In post","2022","Department for Levelling Up, Housing and Communities","London","EO","235","230","28920","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","London","G6","315","305","65450","64090"
"In post","2022","Department for Levelling Up, Housing and Communities","London","G7","695","680","54370","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","London","HEO","470","465","34110","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SCS level","155","150","85260","77020"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SEO","380","375","40810","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","AO","180","165","22040","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","EO","205","195","26220","26050"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","G6","280","250","63400","58810"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","G7","440","420","48780","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","HEO","395","380","31520","30320"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SCS level","30","25","90590","81600"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SEO","335","325","38340","36460"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","London","AA","[c]","[c]","[c]","[c]"
